rk,school,school_url,school_id,from,to,yrs,g,w,l,wl_pct,srs,sos,ap,creg,ctrn,ncaa,ff,nc
55,Cal State Northridge Matadors,/cbb/schools/cal-state-northridge/,cal-state-northridge,1991,2015,25,741,329,412,.444,-4.72,-1.71,0,3,2,2,0,0
56,California Golden Bears,/cbb/schools/california/,california,1908,2015,106,2672,1561,1111,.584,8.77,6.88,4,14,0,18,3,1
57,California-Davis Aggies,/cbb/schools/california-davis/,california-davis,2008,2015,8,250,99,151,.396,-7.44,-2.57,0,1,0,0,0,0
58,California-Irvine Anteaters,/cbb/schools/california-irvine/,california-irvine,1978,2015,38,1123,528,595,.470,-1.62,0.47,0,3,1,1,0,0
59,California-Riverside Highlanders,/cbb/schools/california-riverside/,california-riverside,2002,2015,14,409,140,269,.342,-8.62,-1.67,0,0,0,0,0,0
60,California-Santa Barbara Gauchos,/cbb/schools/california-santa-barbara/,california-santa-barbara,1964,2015,52,1463,770,693,.526,0.74,0.58,0,4,3,5,0,0
61,Campbell Fighting Camels,/cbb/schools/campbell/,campbell,1978,2015,38,1079,434,645,.402,-13.22,-7.20,0,1,1,1,0,0
62,Canisius Golden Griffins,/cbb/schools/canisius/,canisius,1904,2015,111,2441,1239,1202,.508,-5.01,-3.43,1,7,1,4,0,0
63,Carleton College Knights,/cbb/schools/carleton-college/,carleton-college,1910,1934,25,360,280,80,.778,,,0,0,0,,,
64,Carnegie Mellon Tartans,/cbb/schools/carnegie-mellon/,carnegie-mellon,1933,1939,7,87,40,47,.460,,,0,2,0,0,0,0
65,Case Western Reserve Spartans,/cbb/schools/case-western-reserve/,case-western-reserve,1898,1955,13,245,95,150,.388,,,0,0,0,0,0,0
66,Catholic Cardinals,/cbb/schools/catholic/,catholic,1913,1981,13,248,122,126,.492,-20.94,-6.16,0,0,0,1,0,0
67,Centenary (LA) Gents,/cbb/schools/centenary-la/,centenary-la,1960,2011,52,1435,637,798,.444,-10.54,-4.46,1,2,1,0,0,0
68,Central Arkansas Bears,/cbb/schools/central-arkansas/,central-arkansas,2011,2015,5,146,36,110,.247,-17.27,-5.57,0,0,0,0,0,0
69,Central Connecticut State Blue Devils,/cbb/schools/central-connecticut-state/,central-connecticut-state,1987,2015,29,840,356,484,.424,-11.95,-7.73,0,3,3,3,0,0
70,Central Florida Knights,/cbb/schools/central-florida/,central-florida,1985,2015,31,918,448,470,.488,-5.73,-3.68,0,1,4,4,0,0
71,Central Michigan Chippewas,/cbb/schools/central-michigan/,central-michigan,1974,2015,42,1189,511,678,.430,-4.95,-0.27,0,7,2,4,0,0
72,Central Missouri Mules,/cbb/schools/central-missouri/,central-missouri,1913,1937,10,178,140,38,.787,,,0,0,0,,,
73,Central Normal College ,/cbb/schools/central-normal-college/,central-normal-college,1931,1931,1,19,19,0,1.000,,,0,0,0,,,
74,Central Pennsylvania College Knights,/cbb/schools/central-pennsylvania-college/,central-pennsylvania-college,1896,1900,4,6,2,4,.333,,,0,0,0,,,
75,Centre (KY) Colonels,/cbb/schools/centre-ky/,centre-ky,1910,1919,3,45,41,4,.911,,,0,0,0,,,
76,Charleston Southern Buccaneers,/cbb/schools/charleston-southern/,charleston-southern,1975,2015,41,1165,482,683,.414,-11.71,-7.54,0,4,4,1,0,0
77,Charlotte 49ers,/cbb/schools/charlotte/,charlotte,1973,2015,43,1278,726,552,.568,4.28,3.46,2,6,5,11,1,0
78,Chattanooga Mocs,/cbb/schools/chattanooga/,chattanooga,1978,2015,38,1161,705,456,.607,-2.14,-3.68,1,18,10,10,0,0
79,Cheyenne Business College ,/cbb/schools/cheyenne-business-college/,cheyenne-business-college,1903,1903,1,1,1,0,1.000,,,0,0,0,,,
80,Chicago Maroons,/cbb/schools/chicago/,chicago,1896,1946,46,862,419,443,.486,,,0,6,0,0,0,0
81,Chicago State Cougars,/cbb/schools/chicago-state/,chicago-state,1985,2015,31,895,253,642,.283,-14.40,-2.52,0,1,1,0,0,0
82,Cincinnati Bearcats,/cbb/schools/cincinnati/,cincinnati,1902,2015,114,2677,1695,982,.633,11.60,6.25,22,23,10,29,6,2
83,Citadel Bulldogs,/cbb/schools/citadel/,citadel,1913,2015,103,2235,952,1283,.426,-10.91,-4.27,0,0,0,0,0,0
84,City College of New York Beavers,/cbb/schools/city-college-of-new-york/,city-college-of-new-york,1906,1953,48,725,517,208,.713,,,0,1,0,2,2,1
85,Clemson Tigers,/cbb/schools/clemson/,clemson,1912,2015,104,2503,1252,1249,.501,10.49,6.96,5,1,1,11,0,0
86,Cleveland State Vikings,/cbb/schools/cleveland-state/,cleveland-state,1973,2015,43,1249,641,608,.513,-1.34,-1.28,0,4,2,2,0,0
87,Coastal Carolina Chanticleers,/cbb/schools/coastal-carolina/,coastal-carolina,1987,2015,29,853,432,421,.506,-9.16,-6.96,0,7,5,4,0,0
88,Colgate Raiders,/cbb/schools/colgate/,colgate,1901,2015,115,2553,1215,1338,.476,-11.29,-6.05,0,3,2,2,0,0
89,College of Charleston Cougars,/cbb/schools/college-of-charleston/,college-of-charleston,1992,2015,24,744,517,227,.695,0.88,-4.72,2,12,3,4,0,0
90,College of New Jersey Lions,/cbb/schools/college-of-new-jersey/,college-of-new-jersey,1900,1900,1,5,3,2,.600,,,0,0,0,,,
91,Colorado Buffaloes,/cbb/schools/colorado/,colorado,1902,2015,112,2393,1236,1157,.517,5.66,7.03,5,19,1,13,2,0
92,Colorado College Tigers,/cbb/schools/colorado-college/,colorado-college,1915,1937,23,376,233,143,.620,,,0,7,0,,,
93,Colorado School of Mines Orediggers,/cbb/schools/colorado-school-of-mines/,colorado-school-of-mines,1908,1937,28,282,80,202,.284,,,0,2,0,,,
94,Colorado State Rams,/cbb/schools/colorado-state/,colorado-state,1902,2015,111,2404,1201,1203,.500,3.34,3.36,0,6,1,10,0,0
95,Columbia Lions,/cbb/schools/columbia/,columbia,1901,2015,115,2501,1248,1253,.499,-10.08,-5.65,2,13,0,3,0,0
96,Concordia Seminary Preachers,/cbb/schools/concordia-seminary/,concordia-seminary,1907,1923,2,16,14,2,.875,,,0,0,0,,,
97,Connecticut Huskies,/cbb/schools/connecticut/,connecticut,1901,2015,109,2479,1585,894,.639,13.59,6.46,16,27,7,31,5,4
98,Coppin State Eagles,/cbb/schools/coppin-state/,coppin-state,1986,2015,30,904,447,457,.494,-9.60,-8.38,0,10,4,4,0,0
99,Cornell Big Red,/cbb/schools/cornell/,cornell,1899,2015,117,2587,1217,1370,.470,-8.45,-5.02,0,8,0,5,0,0
100,Cotner University ,/cbb/schools/cotner-university/,cotner-university,1910,1911,2,27,24,3,.889,,,0,0,0,,,
101,Creighton Bluejays,/cbb/schools/creighton/,creighton,1912,2015,95,2444,1476,968,.604,5.36,3.27,4,15,12,19,0,0
102,Cumberland University Bulldogs,/cbb/schools/cumberland-university/,cumberland-university,1904,1904,1,4,4,0,1.000,,,0,0,0,,,
103,Dakota Wesleyan Tigers,/cbb/schools/dakota-wesleyan/,dakota-wesleyan,1932,1932,1,20,19,1,.950,,,0,0,0,,,
