rk,school,school_url,school_id,from,to,yrs,g,w,l,wl_pct,srs,sos,ap,creg,ctrn,ncaa,ff,nc
371,South Dakota State Jackrabbits,/cbb/schools/south-dakota-state/,south-dakota-state,2009,2015,7,231,141,90,.610,0.58,-2.97,0,2,2,2,0,0
372,South Florida Bulls,/cbb/schools/south-florida/,south-florida,1974,2015,42,1230,574,656,.467,2.58,3.64,0,1,1,3,0,0
373,Southeast Missouri State Redhawks,/cbb/schools/southeast-missouri-state/,southeast-missouri-state,1992,2015,24,704,303,401,.430,-8.33,-4.82,0,1,1,1,0,0
374,Southeastern Louisiana Lions,/cbb/schools/southeastern-louisiana/,southeastern-louisiana,1981,2015,34,967,415,552,.429,-11.04,-6.28,0,4,1,1,0,0
375,Southern California Trojans,/cbb/schools/southern-california/,southern-california,1907,2015,109,2693,1532,1161,.569,7.19,7.00,9,7,1,16,2,0
376,Southern Illinois Salukis,/cbb/schools/southern-illinois/,southern-illinois,1968,2015,48,1419,786,633,.554,2.98,2.61,1,9,5,10,0,0
377,Southern Illinois-Edwardsville Cougars,/cbb/schools/southern-illinois-edwardsville/,southern-illinois-edwardsville,2011,2015,5,142,50,92,.352,-12.95,-4.74,0,0,0,0,0,0
378,Southern Jaguars,/cbb/schools/southern/,southern,1978,2015,38,1113,589,524,.529,-10.04,-10.23,0,8,8,8,0,0
379,Southern Methodist Mustangs,/cbb/schools/southern-methodist/,southern-methodist,1917,2015,99,2441,1259,1182,.516,2.42,2.76,3,14,2,11,1,0
380,Southern Mississippi Golden Eagles,/cbb/schools/southern-mississippi/,southern-mississippi,1967,2015,44,1285,687,598,.535,3.73,3.18,1,2,0,3,0,0
381,Southern Utah Thunderbirds,/cbb/schools/southern-utah/,southern-utah,1989,2015,27,776,339,437,.437,-7.00,-3.64,0,3,3,1,0,0
382,Southwestern (KS) Moundbuilders,/cbb/schools/southwestern-ks/,southwestern-ks,1905,1923,19,289,212,77,.734,,,0,0,0,,,
383,Southwestern (TX) Pirates,/cbb/schools/southwestern-tx/,southwestern-tx,1915,1916,2,10,1,9,.100,,,0,0,0,,,
384,Springfield Pride,/cbb/schools/springfield/,springfield,1897,1935,30,406,268,138,.660,,,0,0,0,,,
385,St. Bonaventure Bonnies,/cbb/schools/st-bonaventure/,st-bonaventure,1920,2015,95,2269,1276,993,.562,-0.86,1.70,6,7,1,6,1,0
386,St. Francis (NY) Terriers,/cbb/schools/st-francis-ny/,st-francis-ny,1902,2015,96,2382,1178,1204,.495,-11.62,-8.22,0,6,0,0,0,0
387,St. John's (NY) Red Storm,/cbb/schools/st-johns-ny/,st-johns-ny,1908,2015,108,2798,1841,957,.658,10.03,7.23,15,14,3,29,2,0
388,St. John's College (OH) ,/cbb/schools/st-johns-college-oh/,st-johns-college-oh,1921,1921,1,15,15,0,1.000,,,0,0,0,,,
389,St. Lawrence Saints,/cbb/schools/st-lawrence/,st-lawrence,1902,1914,7,99,70,29,.707,,,0,0,0,,,
390,Stanford Cardinal,/cbb/schools/stanford/,stanford,1914,2015,100,2565,1466,1099,.572,11.08,6.83,10,11,1,17,2,1
391,Stephen F. Austin Lumberjacks,/cbb/schools/stephen-f-austin/,stephen-f-austin,1987,2015,29,840,461,379,.549,-6.59,-6.75,0,7,3,3,0,0
392,Stetson Hatters,/cbb/schools/stetson/,stetson,1972,2015,44,1244,579,665,.465,-8.40,-4.69,0,0,0,0,0,0
393,Stevens Institute Ducks,/cbb/schools/stevens-institute/,stevens-institute,1917,1920,4,48,37,11,.771,,,0,0,0,,,
394,Stony Brook Seawolves,/cbb/schools/stony-brook/,stony-brook,2000,2015,16,487,230,257,.472,-7.64,-5.66,0,4,0,0,0,0
395,SUNY-Potsdam Bears,/cbb/schools/suny-potsdam/,suny-potsdam,1910,1913,2,32,22,10,.688,,,0,0,0,,,
396,Swarthmore Garnet,/cbb/schools/swarthmore/,swarthmore,1906,1919,11,133,92,41,.692,,,0,0,0,,,
397,Syracuse Orange,/cbb/schools/syracuse/,syracuse,1899,2015,115,2775,1923,851,.693,15.64,7.33,30,11,5,37,5,1
398,Temple Owls,/cbb/schools/temple/,temple,1895,2015,119,2874,1849,1025,.643,9.93,4.73,9,21,10,31,2,0
399,Tennessee State Tigers,/cbb/schools/tennessee-state/,tennessee-state,1978,2015,38,1083,450,633,.416,-8.89,-4.59,0,2,2,2,0,0
400,Tennessee Tech Golden Eagles,/cbb/schools/tennessee-tech/,tennessee-tech,1944,2015,61,1646,818,828,.497,-6.60,-3.78,0,7,1,2,0,0
401,Tennessee Volunteers,/cbb/schools/tennessee/,tennessee,1909,2015,106,2571,1568,1001,.610,10.58,7.88,11,12,4,20,0,0
402,Tennessee-Martin Skyhawks,/cbb/schools/tennessee-martin/,tennessee-martin,1993,2015,23,668,241,427,.361,-11.57,-4.11,0,1,0,0,0,0
403,Texas A&M Aggies,/cbb/schools/texas-am/,texas-am,1913,2015,103,2564,1344,1220,.524,4.68,4.27,3,11,2,12,0,0
404,Texas A&M-Corpus Christi Islanders,/cbb/schools/texas-am-corpus-christi/,texas-am-corpus-christi,2003,2015,13,396,199,197,.503,-5.60,-4.22,0,4,1,1,0,0
405,Texas Christian Horned Frogs,/cbb/schools/texas-christian/,texas-christian,1914,2015,102,2482,1143,1339,.461,2.95,3.08,3,11,0,7,0,0
406,Texas Longhorns,/cbb/schools/texas/,texas,1906,2015,109,2738,1718,1020,.627,10.98,6.21,11,25,2,32,3,0
407,Texas Southern Tigers,/cbb/schools/texas-southern/,texas-southern,1978,2015,38,1111,542,569,.488,-11.11,-8.73,0,10,6,6,0,0
408,Texas State Bobcats,/cbb/schools/texas-state/,texas-state,1985,2015,31,895,389,506,.435,-9.33,-5.88,0,3,2,2,0,0
409,Texas Tech Red Raiders,/cbb/schools/texas-tech/,texas-tech,1926,2015,87,2311,1279,1032,.553,5.65,5.23,4,12,5,14,0,0
410,Texas Wesleyan Rams,/cbb/schools/texas-wesleyan/,texas-wesleyan,1948,1948,1,30,19,11,.633,,,0,0,0,0,0,0
411,Texas-Arlington Mavericks,/cbb/schools/texas-arlington/,texas-arlington,1969,2015,47,1327,587,740,.442,-7.42,-4.75,0,2,1,1,0,0
412,Texas-El Paso Miners,/cbb/schools/texas-el-paso/,texas-el-paso,1923,2015,87,2213,1282,931,.579,6.36,2.74,4,13,5,17,1,1
413,Texas-Pan American Broncs,/cbb/schools/texas-pan-american/,texas-pan-american,1969,2015,47,1307,565,742,.432,-8.59,-2.37,0,5,0,0,0,0
414,Texas-San Antonio Roadrunners,/cbb/schools/texas-san-antonio/,texas-san-antonio,1982,2015,34,990,507,483,.512,-5.96,-4.95,0,3,4,4,0,0
415,Toledo Rockets,/cbb/schools/toledo/,toledo,1916,2015,100,2403,1372,1031,.571,-0.50,-0.38,2,11,1,4,0,0
416,Towson Tigers,/cbb/schools/towson/,towson,1980,2015,36,1058,428,630,.405,-8.73,-4.56,0,4,3,2,0,0
417,Trinity (CT) Bantams,/cbb/schools/trinity-ct/,trinity-ct,1897,1911,8,81,28,53,.346,,,0,0,0,,,
418,Trinity (TX) Tigers,/cbb/schools/trinity-tx/,trinity-tx,1971,1973,3,70,25,45,.357,,,0,0,0,0,0,0
419,Troy Trojans,/cbb/schools/troy/,troy,1994,2015,22,647,312,335,.482,-8.09,-5.72,0,6,1,1,0,0
420,Tulane Green Wave,/cbb/schools/tulane/,tulane,1906,2015,105,2391,1183,1208,.495,2.14,2.37,1,6,0,3,0,0
421,Tulsa Golden Hurricane,/cbb/schools/tulsa/,tulsa,1914,2015,102,2481,1378,1103,.555,7.39,2.95,5,10,6,15,0,0
422,UCLA Bruins,/cbb/schools/ucla/,ucla,1920,2015,96,2612,1806,806,.691,13.98,7.98,40,31,4,47,18,11
423,Union (NY) Dutchmen,/cbb/schools/union-ny/,union-ny,1907,1925,19,266,162,104,.609,,,0,0,0,,,
424,Utah State Aggies,/cbb/schools/utah-state/,utah-state,1904,2015,110,2591,1528,1063,.590,4.77,1.40,4,15,8,20,0,0
425,Utah Utes,/cbb/schools/utah/,utah,1909,2015,107,2689,1732,957,.644,8.66,4.54,20,31,5,28,4,1
426,Utah Valley Wolverines,/cbb/schools/utah-valley/,utah-valley,2010,2015,6,187,96,91,.513,-9.83,-6.98,0,3,0,0,0,0
427,Utica Pioneers,/cbb/schools/utica/,utica,1982,1987,6,158,64,94,.405,-12.95,-7.35,0,0,0,0,0,0
428,Valparaiso Crusaders,/cbb/schools/valparaiso/,valparaiso,1918,2015,80,1998,1045,953,.523,-3.63,-2.14,0,12,10,9,0,0
429,Vanderbilt Commodores,/cbb/schools/vanderbilt/,vanderbilt,1901,2015,113,2640,1547,1093,.586,10.18,7.35,11,3,3,13,0,0
430,Vermont Catamounts,/cbb/schools/vermont/,vermont,1921,2015,60,1603,818,785,.510,-6.82,-6.07,0,7,5,5,0,0
431,Villanova Wildcats,/cbb/schools/villanova/,villanova,1921,2015,95,2562,1650,912,.644,12.37,7.89,19,10,4,35,4,1
432,Virginia Cavaliers,/cbb/schools/virginia/,virginia,1906,2015,110,2658,1514,1143,.570,12.65,8.52,9,8,2,19,2,0
433,Virginia Commonwealth Rams,/cbb/schools/virginia-commonwealth/,virginia-commonwealth,1974,2015,42,1280,824,456,.644,5.57,1.35,3,9,9,14,1,0
434,Virginia Military Institute Keydets,/cbb/schools/virginia-military-institute/,virginia-military-institute,1909,2015,107,2308,862,1446,.373,-11.69,-4.38,1,2,3,3,0,0
435,Virginia Tech Hokies,/cbb/schools/virginia-tech/,virginia-tech,1909,2015,107,2548,1375,1173,.540,6.21,4.73,1,2,1,8,0,0
436,Wabash Little Giants,/cbb/schools/wabash/,wabash,1897,1925,29,407,301,106,.740,,,0,0,0,,,
437,Wagner Seahawks,/cbb/schools/wagner/,wagner,1966,2015,43,1224,582,642,.475,-9.80,-7.51,0,1,1,1,0,0
438,Wake Forest Demon Deacons,/cbb/schools/wake-forest/,wake-forest,1906,2015,109,2647,1485,1162,.561,11.18,8.25,17,4,5,22,1,0
439,Washburn Ichabods,/cbb/schools/washburn/,washburn,1906,1941,35,557,270,283,.488,,,0,0,0,0,0,0
440,Washington & Jefferson Presidents,/cbb/schools/washington-jefferson/,washington-jefferson,1913,1944,10,128,73,55,.570,,,0,0,0,0,0,0
441,Washington & Lee Generals,/cbb/schools/washington-lee/,washington-lee,1907,1959,51,905,472,432,.522,,,0,3,2,0,0,0
442,Washington (MO) Bears,/cbb/schools/washington-mo/,washington-mo,1905,1960,52,921,433,488,.470,,,0,2,0,0,0,0
443,Washington College Shoremen,/cbb/schools/washington-college/,washington-college,1913,1925,13,151,109,42,.722,,,0,0,0,,,
444,Washington Huskies,/cbb/schools/washington/,washington,1896,2015,114,2848,1721,1127,.604,8.04,7.16,8,11,3,16,1,0
445,Washington State Cougars,/cbb/schools/washington-state/,washington-state,1902,2015,114,2995,1548,1447,.517,5.76,6.18,3,2,0,6,1,0
446,Wayne State (MI) Warriors,/cbb/schools/wayne-state-mi/,wayne-state-mi,1928,1950,5,104,47,57,.452,,,0,0,0,0,0,0
447,Weber State Wildcats,/cbb/schools/weber-state/,weber-state,1964,2015,52,1515,955,560,.630,0.21,-1.60,1,21,9,15,0,0
448,Wesleyan (CT) Cardinals,/cbb/schools/wesleyan-ct/,wesleyan-ct,1896,1913,13,171,97,74,.567,,,0,0,0,,,
449,West Chester Golden Rams,/cbb/schools/west-chester/,west-chester,1899,1982,10,244,86,158,.352,-18.03,-7.63,0,1,0,0,0,0
450,West Texas A&M Buffaloes,/cbb/schools/west-texas-am/,west-texas-am,1921,1986,54,1275,707,568,.555,-0.41,3.10,0,4,0,1,0,0
451,West Virginia Mountaineers,/cbb/schools/west-virginia/,west-virginia,1904,2015,106,2726,1676,1050,.615,9.34,5.16,14,16,13,26,2,0
452,Western Carolina Catamounts,/cbb/schools/western-carolina/,western-carolina,1977,2015,39,1134,505,629,.445,-8.31,-4.02,0,3,1,1,0,0
453,Western Illinois Leathernecks,/cbb/schools/western-illinois/,western-illinois,1982,2015,34,976,414,562,.424,-8.35,-3.79,0,2,1,0,0,0
454,Western Kentucky Hilltoppers,/cbb/schools/western-kentucky/,western-kentucky,1922,2015,94,2579,1712,867,.664,3.13,-0.05,11,28,19,23,1,0
455,Western Michigan Broncos,/cbb/schools/western-michigan/,western-michigan,1914,2015,102,2420,1290,1130,.533,-1.32,0.08,1,10,2,4,0,0
456,Western State Mountaineers,/cbb/schools/western-state/,western-state,1924,1937,14,189,88,101,.466,,,0,0,0,,,
457,Westminster (MO) Blue Jays,/cbb/schools/westminster-mo/,westminster-mo,1920,1920,1,17,17,0,1.000,,,0,0,0,,,
458,Westminster (PA) Titans,/cbb/schools/westminster-pa/,westminster-pa,1898,1935,21,294,210,84,.714,,,0,0,0,,,
459,Wheaton (IL) Thunder,/cbb/schools/wheaton-il/,wheaton-il,1902,1905,4,57,39,17,.696,,,0,0,0,,,
460,Whittier Poets,/cbb/schools/whittier/,whittier,1909,1915,3,42,38,3,.927,,,0,0,0,,,
461,Wichita State Shockers,/cbb/schools/wichita-state/,wichita-state,1906,2015,108,2648,1482,1166,.560,5.78,2.84,6,9,3,12,2,0
462,Widener Pride,/cbb/schools/widener/,widener,1899,1909,5,26,20,6,.769,,,0,0,0,,,
463,William & Mary Tribe,/cbb/schools/william-mary/,william-mary,1906,2015,110,2512,1163,1349,.463,-5.02,-1.43,0,3,0,0,0,0
464,Williams Ephs,/cbb/schools/williams/,williams,1901,1911,10,161,136,24,.850,,,0,0,0,,,
465,Winthrop Eagles,/cbb/schools/winthrop/,winthrop,1987,2015,29,868,449,419,.517,-8.77,-7.00,1,7,10,9,0,0
466,Wisconsin Badgers,/cbb/schools/wisconsin/,wisconsin,1899,2015,117,2689,1527,1162,.568,11.85,8.66,14,18,3,21,4,1
467,Wisconsin-Stevens Point Pointers,/cbb/schools/wisconsin-stevens-point/,wisconsin-stevens-point,1898,1918,21,156,98,58,.628,,,0,0,0,,,
468,Wisconsin-Superior Yellowjackets,/cbb/schools/wisconsin-superior/,wisconsin-superior,1900,1901,2,14,10,4,.714,,,0,0,0,,,
469,Wittenberg Tigers,/cbb/schools/wittenberg/,wittenberg,1931,1931,1,20,18,2,.900,,,0,0,0,,,
470,Wofford Terriers,/cbb/schools/wofford/,wofford,1996,2015,20,603,285,318,.473,-7.00,-3.08,0,3,4,4,0,0
471,Wooster Fighting Scots,/cbb/schools/wooster/,wooster,1901,1931,31,390,225,165,.577,,,0,0,0,,,
472,Worcester Tech Engineers,/cbb/schools/worcester-tech/,worcester-tech,1920,1920,1,16,14,2,.875,,,0,0,0,,,
473,Wright State Raiders,/cbb/schools/wright-state/,wright-state,1988,2015,28,834,442,392,.530,-2.06,-2.06,0,2,2,2,0,0
474,Wyoming Cowboys,/cbb/schools/wyoming/,wyoming,1905,2015,110,2586,1472,1114,.569,4.89,3.13,4,21,3,15,1,1
475,Xavier Musketeers,/cbb/schools/xavier/,xavier,1920,2015,94,2353,1390,963,.591,9.00,2.85,10,17,9,25,0,0
476,Yale Elis,/cbb/schools/yale/,yale,1896,2015,120,2842,1401,1438,.493,-7.82,-5.77,1,12,0,3,0,0
477,Youngstown State Penguins,/cbb/schools/youngstown-state/,youngstown-state,1948,2015,35,1002,388,614,.387,-8.29,-3.31,0,0,0,0,0,0
