year,school_id,school_name,week,rank
2006,alabama,Alabama Crimson Tide,Pre,15
2006,alabama,Alabama Crimson Tide,11/15,15
2006,alabama,Alabama Crimson Tide,11/22,19
2006,alabama,Alabama Crimson Tide,11/29,21
2006,alabama,Alabama Crimson Tide,12/6,22
2006,alabama,Alabama Crimson Tide,12/13,
2006,alabama,Alabama Crimson Tide,12/20,
2006,alabama,Alabama Crimson Tide,12/27,
2006,alabama,Alabama Crimson Tide,1/3,
2006,alabama,Alabama Crimson Tide,1/10,
2006,alabama,Alabama Crimson Tide,1/17,
2006,alabama,Alabama Crimson Tide,1/24,
2006,alabama,Alabama Crimson Tide,1/31,
2006,alabama,Alabama Crimson Tide,2/7,
2006,alabama,Alabama Crimson Tide,2/14,
2006,alabama,Alabama Crimson Tide,2/21,
2006,alabama,Alabama Crimson Tide,2/28,
2006,alabama,Alabama Crimson Tide,3/7,
2006,alabama,Alabama Crimson Tide,Final,
2005,alabama,Alabama Crimson Tide,Pre,18
2005,alabama,Alabama Crimson Tide,11/16,18
2005,alabama,Alabama Crimson Tide,11/23,19
2005,alabama,Alabama Crimson Tide,11/30,22
2005,alabama,Alabama Crimson Tide,12/7,18
2005,alabama,Alabama Crimson Tide,12/14,17
2005,alabama,Alabama Crimson Tide,12/21,19
2005,alabama,Alabama Crimson Tide,12/28,18
2005,alabama,Alabama Crimson Tide,1/4,19
2005,alabama,Alabama Crimson Tide,1/11,23
2005,alabama,Alabama Crimson Tide,1/18,22
2005,alabama,Alabama Crimson Tide,1/25,14
2005,alabama,Alabama Crimson Tide,2/1,11
2005,alabama,Alabama Crimson Tide,2/8,17
2005,alabama,Alabama Crimson Tide,2/15,16
2005,alabama,Alabama Crimson Tide,2/22,16
2005,alabama,Alabama Crimson Tide,3/1,21
2005,alabama,Alabama Crimson Tide,3/8,20
2005,alabama,Alabama Crimson Tide,Final,21
2003,alabama,Alabama Crimson Tide,Pre,8
2003,alabama,Alabama Crimson Tide,11/19,4
2003,alabama,Alabama Crimson Tide,11/26,4
2003,alabama,Alabama Crimson Tide,12/3,3
2003,alabama,Alabama Crimson Tide,12/10,2
2003,alabama,Alabama Crimson Tide,12/17,2
2003,alabama,Alabama Crimson Tide,12/24,1
2003,alabama,Alabama Crimson Tide,12/31,1
2003,alabama,Alabama Crimson Tide,1/7,4
2003,alabama,Alabama Crimson Tide,1/14,9
2003,alabama,Alabama Crimson Tide,1/21,15
2003,alabama,Alabama Crimson Tide,1/28,23
2003,alabama,Alabama Crimson Tide,2/4,22
2003,alabama,Alabama Crimson Tide,2/11,
2003,alabama,Alabama Crimson Tide,2/18,
2003,alabama,Alabama Crimson Tide,2/25,
2003,alabama,Alabama Crimson Tide,3/4,
2003,alabama,Alabama Crimson Tide,3/11,
2003,alabama,Alabama Crimson Tide,Final,
2002,alabama,Alabama Crimson Tide,Pre,24
2002,alabama,Alabama Crimson Tide,11/20,22
2002,alabama,Alabama Crimson Tide,11/27,21
2002,alabama,Alabama Crimson Tide,12/4,16
2002,alabama,Alabama Crimson Tide,12/11,22
2002,alabama,Alabama Crimson Tide,12/18,23
2002,alabama,Alabama Crimson Tide,12/25,21
2002,alabama,Alabama Crimson Tide,1/1,18
2002,alabama,Alabama Crimson Tide,1/8,14
2002,alabama,Alabama Crimson Tide,1/15,16
2002,alabama,Alabama Crimson Tide,1/22,14
2002,alabama,Alabama Crimson Tide,1/29,7
2002,alabama,Alabama Crimson Tide,2/5,5
2002,alabama,Alabama Crimson Tide,2/12,7
2002,alabama,Alabama Crimson Tide,2/19,5
2002,alabama,Alabama Crimson Tide,2/26,6
2002,alabama,Alabama Crimson Tide,3/5,8
2002,alabama,Alabama Crimson Tide,Final,8
2001,alabama,Alabama Crimson Tide,Pre,
2001,alabama,Alabama Crimson Tide,11/14,
2001,alabama,Alabama Crimson Tide,11/21,
2001,alabama,Alabama Crimson Tide,11/28,
2001,alabama,Alabama Crimson Tide,12/5,23
2001,alabama,Alabama Crimson Tide,12/12,18
2001,alabama,Alabama Crimson Tide,12/19,17
2001,alabama,Alabama Crimson Tide,12/26,20
2001,alabama,Alabama Crimson Tide,1/2,18
2001,alabama,Alabama Crimson Tide,1/9,16
2001,alabama,Alabama Crimson Tide,1/16,15
2001,alabama,Alabama Crimson Tide,1/23,18
2001,alabama,Alabama Crimson Tide,1/30,17
2001,alabama,Alabama Crimson Tide,2/6,18
2001,alabama,Alabama Crimson Tide,2/13,21
2001,alabama,Alabama Crimson Tide,2/20,14
2001,alabama,Alabama Crimson Tide,2/27,20
2001,alabama,Alabama Crimson Tide,3/6,
2001,alabama,Alabama Crimson Tide,Final,
1997,alabama,Alabama Crimson Tide,Pre,
1997,alabama,Alabama Crimson Tide,11/19,
1997,alabama,Alabama Crimson Tide,11/26,
1997,alabama,Alabama Crimson Tide,12/3,
1997,alabama,Alabama Crimson Tide,12/10,24
1997,alabama,Alabama Crimson Tide,12/17,20
1997,alabama,Alabama Crimson Tide,12/24,19
1997,alabama,Alabama Crimson Tide,12/31,
1997,alabama,Alabama Crimson Tide,1/7,
1997,alabama,Alabama Crimson Tide,1/14,
1997,alabama,Alabama Crimson Tide,1/21,
1997,alabama,Alabama Crimson Tide,1/28,
1997,alabama,Alabama Crimson Tide,2/4,
1997,alabama,Alabama Crimson Tide,2/11,
1997,alabama,Alabama Crimson Tide,2/18,
1997,alabama,Alabama Crimson Tide,2/25,
1997,alabama,Alabama Crimson Tide,3/4,
1997,alabama,Alabama Crimson Tide,Final,
1995,alabama,Alabama Crimson Tide,Pre,18
1995,alabama,Alabama Crimson Tide,11/21,25
1995,alabama,Alabama Crimson Tide,11/28,
1995,alabama,Alabama Crimson Tide,12/5,
1995,alabama,Alabama Crimson Tide,12/12,
1995,alabama,Alabama Crimson Tide,12/19,
1995,alabama,Alabama Crimson Tide,12/26,
1995,alabama,Alabama Crimson Tide,1/2,
1995,alabama,Alabama Crimson Tide,1/9,
1995,alabama,Alabama Crimson Tide,1/16,
1995,alabama,Alabama Crimson Tide,1/23,
1995,alabama,Alabama Crimson Tide,1/30,20
1995,alabama,Alabama Crimson Tide,2/6,23
1995,alabama,Alabama Crimson Tide,2/13,18
1995,alabama,Alabama Crimson Tide,2/20,20
1995,alabama,Alabama Crimson Tide,2/27,21
1995,alabama,Alabama Crimson Tide,3/6,20
1995,alabama,Alabama Crimson Tide,Final,20
1992,alabama,Alabama Crimson Tide,Pre,17
1992,alabama,Alabama Crimson Tide,11/25,16
1992,alabama,Alabama Crimson Tide,12/2,15
1992,alabama,Alabama Crimson Tide,12/9,20
1992,alabama,Alabama Crimson Tide,12/16,20
1992,alabama,Alabama Crimson Tide,12/23,20
1992,alabama,Alabama Crimson Tide,12/30,19
1992,alabama,Alabama Crimson Tide,1/6,16
1992,alabama,Alabama Crimson Tide,1/13,9
1992,alabama,Alabama Crimson Tide,1/20,15
1992,alabama,Alabama Crimson Tide,1/27,22
1992,alabama,Alabama Crimson Tide,2/3,18
1992,alabama,Alabama Crimson Tide,2/10,16
1992,alabama,Alabama Crimson Tide,2/17,14
1992,alabama,Alabama Crimson Tide,2/24,16
1992,alabama,Alabama Crimson Tide,3/2,20
1992,alabama,Alabama Crimson Tide,3/9,17
1992,alabama,Alabama Crimson Tide,Final,13
1991,alabama,Alabama Crimson Tide,Pre,7
1991,alabama,Alabama Crimson Tide,11/27,6
1991,alabama,Alabama Crimson Tide,12/4,12
1991,alabama,Alabama Crimson Tide,12/11,20
1991,alabama,Alabama Crimson Tide,12/18,
1991,alabama,Alabama Crimson Tide,12/25,
1991,alabama,Alabama Crimson Tide,1/1,
1991,alabama,Alabama Crimson Tide,1/8,
1991,alabama,Alabama Crimson Tide,1/15,
1991,alabama,Alabama Crimson Tide,1/22,
1991,alabama,Alabama Crimson Tide,1/29,
1991,alabama,Alabama Crimson Tide,2/5,
1991,alabama,Alabama Crimson Tide,2/12,
1991,alabama,Alabama Crimson Tide,2/19,
1991,alabama,Alabama Crimson Tide,2/26,24
1991,alabama,Alabama Crimson Tide,3/5,24
1991,alabama,Alabama Crimson Tide,Final,19
1990,alabama,Alabama Crimson Tide,Pre,
1990,alabama,Alabama Crimson Tide,11/27,
1990,alabama,Alabama Crimson Tide,12/5,21
1990,alabama,Alabama Crimson Tide,12/12,19
1990,alabama,Alabama Crimson Tide,12/19,20
1990,alabama,Alabama Crimson Tide,12/26,22
1990,alabama,Alabama Crimson Tide,1/2,22
1990,alabama,Alabama Crimson Tide,1/9,24
1990,alabama,Alabama Crimson Tide,1/16,25
1990,alabama,Alabama Crimson Tide,1/23,24
1990,alabama,Alabama Crimson Tide,1/30,
1990,alabama,Alabama Crimson Tide,2/6,
1990,alabama,Alabama Crimson Tide,2/13,
1990,alabama,Alabama Crimson Tide,2/20,
1990,alabama,Alabama Crimson Tide,2/27,
1990,alabama,Alabama Crimson Tide,3/6,
1990,alabama,Alabama Crimson Tide,Final,23
1989,alabama,Alabama Crimson Tide,Pre,
1989,alabama,Alabama Crimson Tide,11/22,
1989,alabama,Alabama Crimson Tide,11/29,
1989,alabama,Alabama Crimson Tide,12/6,
1989,alabama,Alabama Crimson Tide,12/13,
1989,alabama,Alabama Crimson Tide,12/20,
1989,alabama,Alabama Crimson Tide,12/27,
1989,alabama,Alabama Crimson Tide,1/3,
1989,alabama,Alabama Crimson Tide,1/10,
1989,alabama,Alabama Crimson Tide,1/17,
1989,alabama,Alabama Crimson Tide,1/24,
1989,alabama,Alabama Crimson Tide,1/31,
1989,alabama,Alabama Crimson Tide,2/7,
1989,alabama,Alabama Crimson Tide,2/14,
1989,alabama,Alabama Crimson Tide,2/21,
1989,alabama,Alabama Crimson Tide,2/28,
1989,alabama,Alabama Crimson Tide,3/7,
1989,alabama,Alabama Crimson Tide,Final,20
1987,alabama,Alabama Crimson Tide,Pre,13
1987,alabama,Alabama Crimson Tide,12/2,8
1987,alabama,Alabama Crimson Tide,12/9,18
1987,alabama,Alabama Crimson Tide,12/16,
1987,alabama,Alabama Crimson Tide,12/23,
1987,alabama,Alabama Crimson Tide,12/30,
1987,alabama,Alabama Crimson Tide,1/6,
1987,alabama,Alabama Crimson Tide,1/13,15
1987,alabama,Alabama Crimson Tide,1/20,13
1987,alabama,Alabama Crimson Tide,1/27,9
1987,alabama,Alabama Crimson Tide,2/3,9
1987,alabama,Alabama Crimson Tide,2/10,14
1987,alabama,Alabama Crimson Tide,2/17,12
1987,alabama,Alabama Crimson Tide,2/24,10
1987,alabama,Alabama Crimson Tide,3/3,9
1987,alabama,Alabama Crimson Tide,Final,9
1986,alabama,Alabama Crimson Tide,Pre,
1986,alabama,Alabama Crimson Tide,11/26,
1986,alabama,Alabama Crimson Tide,12/3,
1986,alabama,Alabama Crimson Tide,12/10,
1986,alabama,Alabama Crimson Tide,12/17,
1986,alabama,Alabama Crimson Tide,12/24,
1986,alabama,Alabama Crimson Tide,12/31,
1986,alabama,Alabama Crimson Tide,1/7,
1986,alabama,Alabama Crimson Tide,1/14,
1986,alabama,Alabama Crimson Tide,1/21,
1986,alabama,Alabama Crimson Tide,1/28,
1986,alabama,Alabama Crimson Tide,2/4,20
1986,alabama,Alabama Crimson Tide,2/11,18
1986,alabama,Alabama Crimson Tide,2/18,
1986,alabama,Alabama Crimson Tide,2/25,
1986,alabama,Alabama Crimson Tide,3/4,
1986,alabama,Alabama Crimson Tide,Final,
1983,alabama,Alabama Crimson Tide,Pre,12
1983,alabama,Alabama Crimson Tide,11/30,13
1983,alabama,Alabama Crimson Tide,12/7,11
1983,alabama,Alabama Crimson Tide,12/14,10
1983,alabama,Alabama Crimson Tide,12/21,8
1983,alabama,Alabama Crimson Tide,12/28,6
1983,alabama,Alabama Crimson Tide,1/4,5
1983,alabama,Alabama Crimson Tide,1/11,10
1983,alabama,Alabama Crimson Tide,1/18,
1983,alabama,Alabama Crimson Tide,1/25,
1983,alabama,Alabama Crimson Tide,2/1,
1983,alabama,Alabama Crimson Tide,2/8,
1983,alabama,Alabama Crimson Tide,2/15,
1983,alabama,Alabama Crimson Tide,2/22,
1983,alabama,Alabama Crimson Tide,3/1,
1983,alabama,Alabama Crimson Tide,3/8,
1983,alabama,Alabama Crimson Tide,Final,
1982,alabama,Alabama Crimson Tide,Pre,20
1982,alabama,Alabama Crimson Tide,12/1,17
1982,alabama,Alabama Crimson Tide,12/8,16
1982,alabama,Alabama Crimson Tide,12/15,14
1982,alabama,Alabama Crimson Tide,12/22,12
1982,alabama,Alabama Crimson Tide,12/29,12
1982,alabama,Alabama Crimson Tide,1/5,16
1982,alabama,Alabama Crimson Tide,1/12,13
1982,alabama,Alabama Crimson Tide,1/19,16
1982,alabama,Alabama Crimson Tide,1/26,13
1982,alabama,Alabama Crimson Tide,2/2,8
1982,alabama,Alabama Crimson Tide,2/9,10
1982,alabama,Alabama Crimson Tide,2/16,19
1982,alabama,Alabama Crimson Tide,2/23,17
1982,alabama,Alabama Crimson Tide,3/2,18
1982,alabama,Alabama Crimson Tide,Final,13
1979,alabama,Alabama Crimson Tide,Pre,19
1979,alabama,Alabama Crimson Tide,11/28,
1979,alabama,Alabama Crimson Tide,12/5,
1979,alabama,Alabama Crimson Tide,12/12,
1979,alabama,Alabama Crimson Tide,12/19,
1979,alabama,Alabama Crimson Tide,12/26,
1979,alabama,Alabama Crimson Tide,1/3,
1979,alabama,Alabama Crimson Tide,1/9,
1979,alabama,Alabama Crimson Tide,1/16,18
1979,alabama,Alabama Crimson Tide,1/23,18
1979,alabama,Alabama Crimson Tide,1/30,13
1979,alabama,Alabama Crimson Tide,2/6,16
1979,alabama,Alabama Crimson Tide,2/13,20
1979,alabama,Alabama Crimson Tide,2/20,
1979,alabama,Alabama Crimson Tide,2/27,
1979,alabama,Alabama Crimson Tide,3/6,
1979,alabama,Alabama Crimson Tide,Final,
1978,alabama,Alabama Crimson Tide,Pre,15
1978,alabama,Alabama Crimson Tide,11/29,15
1978,alabama,Alabama Crimson Tide,12/6,
1978,alabama,Alabama Crimson Tide,12/13,
1978,alabama,Alabama Crimson Tide,12/20,18
1978,alabama,Alabama Crimson Tide,12/27,
1978,alabama,Alabama Crimson Tide,1/3,
1978,alabama,Alabama Crimson Tide,1/10,
1978,alabama,Alabama Crimson Tide,1/17,
1978,alabama,Alabama Crimson Tide,1/24,
1978,alabama,Alabama Crimson Tide,1/31,
1978,alabama,Alabama Crimson Tide,2/7,
1978,alabama,Alabama Crimson Tide,2/14,
1978,alabama,Alabama Crimson Tide,2/21,
1978,alabama,Alabama Crimson Tide,2/28,
1978,alabama,Alabama Crimson Tide,3/6,
1978,alabama,Alabama Crimson Tide,Final,
1977,alabama,Alabama Crimson Tide,Pre,13
1977,alabama,Alabama Crimson Tide,11/30,13
1977,alabama,Alabama Crimson Tide,12/7,10
1977,alabama,Alabama Crimson Tide,12/14,7
1977,alabama,Alabama Crimson Tide,12/21,5
1977,alabama,Alabama Crimson Tide,12/28,4
1977,alabama,Alabama Crimson Tide,1/4,4
1977,alabama,Alabama Crimson Tide,1/11,4
1977,alabama,Alabama Crimson Tide,1/18,3
1977,alabama,Alabama Crimson Tide,1/25,3
1977,alabama,Alabama Crimson Tide,2/1,8
1977,alabama,Alabama Crimson Tide,2/8,7
1977,alabama,Alabama Crimson Tide,2/15,4
1977,alabama,Alabama Crimson Tide,2/22,8
1977,alabama,Alabama Crimson Tide,3/1,12
1977,alabama,Alabama Crimson Tide,3/8,12
1977,alabama,Alabama Crimson Tide,Final,11
1976,alabama,Alabama Crimson Tide,Pre,12
1976,alabama,Alabama Crimson Tide,12/2,14
1976,alabama,Alabama Crimson Tide,12/9,11
1976,alabama,Alabama Crimson Tide,12/16,8
1976,alabama,Alabama Crimson Tide,12/23,8
1976,alabama,Alabama Crimson Tide,12/30,8
1976,alabama,Alabama Crimson Tide,1/6,10
1976,alabama,Alabama Crimson Tide,1/13,11
1976,alabama,Alabama Crimson Tide,1/20,12
1976,alabama,Alabama Crimson Tide,1/27,11
1976,alabama,Alabama Crimson Tide,2/3,14
1976,alabama,Alabama Crimson Tide,2/10,11
1976,alabama,Alabama Crimson Tide,2/17,10
1976,alabama,Alabama Crimson Tide,2/24,7
1976,alabama,Alabama Crimson Tide,3/2,6
1976,alabama,Alabama Crimson Tide,3/9,8
1976,alabama,Alabama Crimson Tide,Final,6
1975,alabama,Alabama Crimson Tide,Pre,9
1975,alabama,Alabama Crimson Tide,12/3,11
1975,alabama,Alabama Crimson Tide,12/10,10
1975,alabama,Alabama Crimson Tide,12/17,8
1975,alabama,Alabama Crimson Tide,12/24,7
1975,alabama,Alabama Crimson Tide,12/31,6
1975,alabama,Alabama Crimson Tide,1/7,8
1975,alabama,Alabama Crimson Tide,1/14,7
1975,alabama,Alabama Crimson Tide,1/21,6
1975,alabama,Alabama Crimson Tide,1/28,9
1975,alabama,Alabama Crimson Tide,2/4,7
1975,alabama,Alabama Crimson Tide,2/11,7
1975,alabama,Alabama Crimson Tide,2/18,5
1975,alabama,Alabama Crimson Tide,2/25,8
1975,alabama,Alabama Crimson Tide,3/4,7
1975,alabama,Alabama Crimson Tide,3/11,10
1975,alabama,Alabama Crimson Tide,3/18,11
1975,alabama,Alabama Crimson Tide,3/25,11
1975,alabama,Alabama Crimson Tide,Final,10
1974,alabama,Alabama Crimson Tide,Pre,18
1974,alabama,Alabama Crimson Tide,12/4,18
1974,alabama,Alabama Crimson Tide,12/11,13
1974,alabama,Alabama Crimson Tide,12/18,10
1974,alabama,Alabama Crimson Tide,12/25,13
1974,alabama,Alabama Crimson Tide,1/2,7
1974,alabama,Alabama Crimson Tide,1/8,12
1974,alabama,Alabama Crimson Tide,1/15,10
1974,alabama,Alabama Crimson Tide,1/22,9
1974,alabama,Alabama Crimson Tide,1/29,8
1974,alabama,Alabama Crimson Tide,2/5,8
1974,alabama,Alabama Crimson Tide,2/12,8
1974,alabama,Alabama Crimson Tide,2/19,8
1974,alabama,Alabama Crimson Tide,2/26,7
1974,alabama,Alabama Crimson Tide,3/5,12
1974,alabama,Alabama Crimson Tide,3/12,11
1974,alabama,Alabama Crimson Tide,3/19,13
1974,alabama,Alabama Crimson Tide,Final,14
1973,alabama,Alabama Crimson Tide,Pre,
1973,alabama,Alabama Crimson Tide,12/5,
1973,alabama,Alabama Crimson Tide,12/12,
1973,alabama,Alabama Crimson Tide,12/19,
1973,alabama,Alabama Crimson Tide,12/26,18
1973,alabama,Alabama Crimson Tide,1/2,14
1973,alabama,Alabama Crimson Tide,1/9,14
1973,alabama,Alabama Crimson Tide,1/16,11
1973,alabama,Alabama Crimson Tide,1/23,9
1973,alabama,Alabama Crimson Tide,1/30,6
1973,alabama,Alabama Crimson Tide,2/6,10
1973,alabama,Alabama Crimson Tide,2/13,17
1973,alabama,Alabama Crimson Tide,2/20,18
1973,alabama,Alabama Crimson Tide,2/27,
1973,alabama,Alabama Crimson Tide,3/6,
1973,alabama,Alabama Crimson Tide,Final,
1957,alabama,Alabama Crimson Tide,12/11,9
1957,alabama,Alabama Crimson Tide,12/18,17
1957,alabama,Alabama Crimson Tide,12/26,
1957,alabama,Alabama Crimson Tide,1/2,
1957,alabama,Alabama Crimson Tide,1/8,
1957,alabama,Alabama Crimson Tide,1/15,
1957,alabama,Alabama Crimson Tide,1/22,
1957,alabama,Alabama Crimson Tide,1/29,
1957,alabama,Alabama Crimson Tide,2/5,
1957,alabama,Alabama Crimson Tide,2/12,
1957,alabama,Alabama Crimson Tide,2/19,
1957,alabama,Alabama Crimson Tide,2/26,
1957,alabama,Alabama Crimson Tide,3/5,
1957,alabama,Alabama Crimson Tide,Final,
1956,alabama,Alabama Crimson Tide,12/6,6
1956,alabama,Alabama Crimson Tide,12/13,5
1956,alabama,Alabama Crimson Tide,12/20,16
1956,alabama,Alabama Crimson Tide,12/27,19
1956,alabama,Alabama Crimson Tide,1/3,17
1956,alabama,Alabama Crimson Tide,1/10,19
1956,alabama,Alabama Crimson Tide,1/17,13
1956,alabama,Alabama Crimson Tide,1/24,12
1956,alabama,Alabama Crimson Tide,1/31,12
1956,alabama,Alabama Crimson Tide,2/7,10
1956,alabama,Alabama Crimson Tide,2/14,8
1956,alabama,Alabama Crimson Tide,2/21,7
1956,alabama,Alabama Crimson Tide,2/28,4
1956,alabama,Alabama Crimson Tide,3/6,4
1956,alabama,Alabama Crimson Tide,Final,5
1955,alabama,Alabama Crimson Tide,12/7,
1955,alabama,Alabama Crimson Tide,12/14,
1955,alabama,Alabama Crimson Tide,12/21,19
1955,alabama,Alabama Crimson Tide,12/28,12
1955,alabama,Alabama Crimson Tide,1/4,20
1955,alabama,Alabama Crimson Tide,1/11,16
1955,alabama,Alabama Crimson Tide,1/18,12
1955,alabama,Alabama Crimson Tide,1/25,14
1955,alabama,Alabama Crimson Tide,2/1,13
1955,alabama,Alabama Crimson Tide,2/8,13
1955,alabama,Alabama Crimson Tide,2/15,17
1955,alabama,Alabama Crimson Tide,2/22,12
1955,alabama,Alabama Crimson Tide,3/1,11
1955,alabama,Alabama Crimson Tide,Final,12
2010,alabama-birmingham,Alabama-Birmingham Blazers,Pre,
2010,alabama-birmingham,Alabama-Birmingham Blazers,11/16,
2010,alabama-birmingham,Alabama-Birmingham Blazers,11/23,
2010,alabama-birmingham,Alabama-Birmingham Blazers,11/30,
2010,alabama-birmingham,Alabama-Birmingham Blazers,12/7,
2010,alabama-birmingham,Alabama-Birmingham Blazers,12/14,
2010,alabama-birmingham,Alabama-Birmingham Blazers,12/21,
2010,alabama-birmingham,Alabama-Birmingham Blazers,12/28,24
2010,alabama-birmingham,Alabama-Birmingham Blazers,1/4,
2010,alabama-birmingham,Alabama-Birmingham Blazers,1/11,
2010,alabama-birmingham,Alabama-Birmingham Blazers,1/18,
2010,alabama-birmingham,Alabama-Birmingham Blazers,1/25,25
2010,alabama-birmingham,Alabama-Birmingham Blazers,2/1,
2010,alabama-birmingham,Alabama-Birmingham Blazers,2/8,
2010,alabama-birmingham,Alabama-Birmingham Blazers,2/15,
2010,alabama-birmingham,Alabama-Birmingham Blazers,2/22,
2010,alabama-birmingham,Alabama-Birmingham Blazers,3/1,
2010,alabama-birmingham,Alabama-Birmingham Blazers,3/8,
2010,alabama-birmingham,Alabama-Birmingham Blazers,Final,
2006,alabama-birmingham,Alabama-Birmingham Blazers,Pre,
2006,alabama-birmingham,Alabama-Birmingham Blazers,11/15,
2006,alabama-birmingham,Alabama-Birmingham Blazers,11/22,
2006,alabama-birmingham,Alabama-Birmingham Blazers,11/29,
2006,alabama-birmingham,Alabama-Birmingham Blazers,12/6,
2006,alabama-birmingham,Alabama-Birmingham Blazers,12/13,
2006,alabama-birmingham,Alabama-Birmingham Blazers,12/20,
2006,alabama-birmingham,Alabama-Birmingham Blazers,12/27,
2006,alabama-birmingham,Alabama-Birmingham Blazers,1/3,
2006,alabama-birmingham,Alabama-Birmingham Blazers,1/10,
2006,alabama-birmingham,Alabama-Birmingham Blazers,1/17,
2006,alabama-birmingham,Alabama-Birmingham Blazers,1/24,
2006,alabama-birmingham,Alabama-Birmingham Blazers,1/31,
2006,alabama-birmingham,Alabama-Birmingham Blazers,2/7,
2006,alabama-birmingham,Alabama-Birmingham Blazers,2/14,
2006,alabama-birmingham,Alabama-Birmingham Blazers,2/21,
2006,alabama-birmingham,Alabama-Birmingham Blazers,2/28,
2006,alabama-birmingham,Alabama-Birmingham Blazers,3/7,24
2006,alabama-birmingham,Alabama-Birmingham Blazers,Final,25
1994,alabama-birmingham,Alabama-Birmingham Blazers,Pre,
1994,alabama-birmingham,Alabama-Birmingham Blazers,11/22,
1994,alabama-birmingham,Alabama-Birmingham Blazers,11/29,
1994,alabama-birmingham,Alabama-Birmingham Blazers,12/6,
1994,alabama-birmingham,Alabama-Birmingham Blazers,12/13,
1994,alabama-birmingham,Alabama-Birmingham Blazers,12/20,
1994,alabama-birmingham,Alabama-Birmingham Blazers,12/27,
1994,alabama-birmingham,Alabama-Birmingham Blazers,1/3,
1994,alabama-birmingham,Alabama-Birmingham Blazers,1/10,22
1994,alabama-birmingham,Alabama-Birmingham Blazers,1/17,18
1994,alabama-birmingham,Alabama-Birmingham Blazers,1/24,20
1994,alabama-birmingham,Alabama-Birmingham Blazers,1/31,17
1994,alabama-birmingham,Alabama-Birmingham Blazers,2/7,19
1994,alabama-birmingham,Alabama-Birmingham Blazers,2/14,21
