BEGIN
SET
        team         | h_div |         opp          | v_div | t_score | o_score 
 Lesley              |     3 | Mitchell             |     3 |    50.0 |    57.3
 Maine Maritime      |     3 | Husson               |     3 |    69.8 |    43.1
 Manhattan           |     1 | Army                 |     1 |    58.2 |    56.8
 Marian (WI)         |     3 | Milwaukee Engr.      |     3 |    58.2 |    42.6
 Marshall            |     1 | West Virginia        |     1 |    51.1 |    67.6
 Marymount (VA)      |     3 | Va. Wesleyan         |     3 |    70.7 |    62.5
 Maryville (MO)      |     2 | Principia            |     3 |    89.1 |    33.8
 Me.-Farmington      |     3 | Bowdoin              |     3 |    50.0 |    53.4
 Merrimack           |     2 | Saint Michael's      |     2 |    64.6 |    55.9
 Methodist           |     3 | Salem                |     3 |    73.8 |    57.5
 Miami (OH)          |     1 | Wright St.           |     1 |    68.5 |    63.3
 Middlebury          |     3 | Norwich              |     3 |    68.0 |    55.1
 Middle Tenn.        |     1 | Austin Peay          |     1 |    85.3 |    55.7
 Milwaukee           |     1 | Bradley              |     1 |    72.7 |    76.0
 MIT                 |     3 | Coast Guard          |     3 |    59.1 |    49.7
 Monmouth            |     1 | Georgetown           |     1 |    58.0 |    73.1
 Monmouth (IL)       |     3 | Grinnell             |     3 |    76.4 |    59.9
 Moravian            |     3 | Eastern              |     3 |    79.8 |    61.0
 Mount Ida           |     3 | Mass.-Boston         |     3 |    48.7 |    72.2
 Navy                |     1 | William & Mary       |     1 |    65.0 |    62.0
 Neb.-Omaha          |     1 | Tulsa                |     1 |    59.2 |    59.0
 Newbury             |     3 | Daniel Webster       |     3 |    57.0 |    55.4
 New Haven           |     2 | American Int'l       |     2 |    60.6 |    63.6
 New Mexico          |     1 | Cal St. Fullerton    |     1 |    61.6 |    55.2
 New Paltz St.       |     3 | Stevens              |     3 |    65.9 |    53.4
 Nichols             |     3 | Johnson & Wales (RI) |     3 |    61.6 |    53.9
 North Dakota        |     1 | Air Force            |     1 |    68.7 |    53.0
 Northwestern St.    |     1 | Prairie View         |     1 |    49.5 |    53.8
 Nyack               |     2 | Concordia (NY)       |     2 |    59.2 |    64.1
 Olivet              |     3 | Adrian               |     3 |    71.8 |    55.3
 Penn St.-Harrisburg |     3 | St. Elizabeth        |     3 |    62.6 |    55.4
 Philadelphia U.     |     2 | Holy Family          |     2 |    54.7 |    65.0
 Post                |     2 | Caldwell             |     2 |    63.6 |    62.2
 Randolph            |     3 | Randolph-Macon       |     3 |    63.1 |    68.7
 Regis (MA)          |     3 | Bay Path             |     3 |    79.0 |    49.2
 Rensselaer          |     3 | Keene St.            |     3 |    69.3 |    56.4
 Rhodes              |     3 | Christian Bros.      |     2 |    59.5 |    53.9
 Ripon               |     3 | Beloit               |     3 |    62.2 |    51.4
 Salve Regina        |     3 | Rhode Island Col.    |     3 |    63.2 |    53.8
 South Dakota St.    |     1 | Eastern Mich.        |     1 |    60.1 |    56.3
 Southern Conn. St.  |     2 | Le Moyne             |     2 |    68.9 |    60.6
 Southern Me.        |     3 | Salem St.            |     3 |    72.5 |    57.4
 Southern N.H.       |     2 | Stonehill            |     2 |    51.8 |    57.6
 Southern Vt.        |     3 | Wheelock             |     3 |    51.7 |    30.4
 Springfield         |     3 | Smith                |     3 |    47.6 |    69.7
 St. Anselm          |     2 | Mass.-Lowell         |     2 |    59.3 |    71.5
 Stetson             |     1 | Lynn                 |     2 |    79.1 |    56.0
 St. John Fisher     |     3 | Alfred               |     3 |    74.3 |    64.0
 St. Norbert         |     3 | Lake Forest          |     3 |    56.9 |    48.8
 Stony Brook         |     1 | Sacred Heart         |     1 |    51.6 |    56.2
 St. Scholastica     |     3 | North Central (MN)   |     3 |    79.1 |    60.8
 SUNY Geneseo        |     3 | SUNY Cortland        |     3 |    73.1 |    51.4
 Syracuse            |     1 | Wagner               |     1 |    98.0 |    45.0
 Texas A&M           |     1 | Louisiana Tech       |     1 |    75.8 |    53.7
 Texas-Arlington     |     1 | Tex.-Pan American    |     1 |    64.5 |    63.0
 Thomas (ME)         |     3 | St. Joseph's (ME)    |     3 |    46.5 |    71.2
 UALR                |     1 | Southern Miss.       |     1 |    68.5 |    51.3
 UNI                 |     1 | Chicago St.          |     1 |    79.7 |    44.7
 Union (NY)          |     3 | MCLA                 |     3 |    76.7 |    56.5
 Utah Valley         |     1 | Weber St.            |     1 |    71.4 |    60.5
 Valdosta St.        |     2 | Fort Valley St.      |     2 |    68.4 |    56.4
 Wake Forest         |     1 | Florida A&M          |     1 |    82.2 |    64.6
 Wartburg            |     3 | Bethany Lutheran     |     3 |    63.7 |    54.1
 Washington Col.     |     3 | Ursinus              |     3 |    57.4 |    56.1
 Wells               |     3 | Nazareth             |     3 |    54.7 |    61.4
 Wesleyan (CT)       |     3 | Western New Eng.     |     3 |    50.2 |    50.6
 Western Ky.         |     1 | Vanderbilt           |     1 |    60.3 |    71.2
 Westfield St.       |     3 | Eastern Conn. St.    |     3 |    50.7 |    49.7
 West Liberty        |     2 | West Virginia St.    |     2 |    81.3 |    76.1
 West Virginia       |     1 | Marshall             |     1 |    67.6 |    51.1
 Wichita St.         |     1 | Kansas St.           |     1 |    56.3 |    57.6
 Williams            |     3 | Skidmore             |     3 |    61.6 |    36.0
 Wilmington (DE)     |     2 | Chestnut Hill        |     2 |    65.9 |    66.2
 Wingate             |     2 | Benedict             |     2 |    58.9 |    55.4
 Wis.-Parkside       |     2 | Finlandia            |     3 |    86.7 |    36.1
 Worcester St.       |     3 | Trinity (CT)         |     3 |    51.4 |    60.8
 WPI                 |     3 | Wheaton (MA)         |     3 |    56.8 |    49.0
 Yale                |     1 | Fordham              |     1 |    54.4 |    64.9
 York (PA)           |     3 | Frank. & Marsh.      |     3 |    62.7 |    46.8
(131 rows)

COMMIT
