Adelphi,3,2003,"Kirschbaum, Kerri",85729,Jr.,2002-03,G,5-6,29,67,186,36.022,25,77,32.468,27,35,77.143,66,2.276,69,2.379,0,-,40,1.379,186,6.414,-,-,-
Adelphi,3,2003,"MacArthur, Brianne",85722,Sr.,2002-03,G,5-5,29,30,110,27.273,0,4,-,31,47,65.957,50,1.724,66,2.276,1,0.034,40,1.379,91,3.138,-,-,-
Adelphi,3,2003,"Mangone, Melanie",85724,So.,2002-03,G,5-5,29,138,385,35.844,49,153,32.026,52,74,70.270,77,2.655,39,1.345,6,0.207,48,1.655,377,13.000,-,-,-
Adelphi,3,2003,"Munzer, Heather",85726,Jr.,2002-03,F,5-10,8,6,11,54.545,0,0,-,1,6,16.667,15,1.875,0,-,0,-,5,0.625,13,1.625,-,-,-
Adelphi,3,2003,"Tangar, Myrna",283265,Fr.,2002-03,G,5-7,13,11,20,55.000,0,0,-,0,0,-,16,1.231,7,0.538,1,0.077,8,0.615,22,1.692,-,-,-
Adelphi,3,2003,"Whitney, Meranne",283267,So.,2002-03,F,6-0,27,83,216,38.426,20,62,32.258,57,73,78.082,97,3.593,34,1.259,8,0.296,28,1.037,243,9.000,-,-,-
Adelphi,3,2003,"Wilson, Kylee",283264,Sr.,2002-03,F,5-9,14,8,19,42.105,1,6,16.667,0,0,-,17,1.214,7,0.500,0,-,3,0.214,17,1.214,-,-,-
Adrian,4,2003,"Bouckaert, Katie",66227,Sr.,2002-03,-,-,26,49,144,34.028,12,52,23.077,36,47,76.596,67,2.577,106,4.077,9,0.346,26,1.000,146,5.615,-,-,-
Adrian,4,2003,"Butts, Lisa",66226,Sr.,2002-03,-,-,26,97,257,37.743,24,98,24.490,45,65,69.231,98,3.769,117,4.500,15,0.577,44,1.692,263,10.115,-,-,-
Adrian,4,2003,"Edwards, Ra'Sheida",295879,Fr.,2002-03,-,-,4,0,2,-,0,1,-,0,0,-,1,0.250,0,-,0,-,0,-,-,-,-,-,-
Adrian,4,2003,"Keebaugh, Allison",66228,Sr.,2002-03,-,-,26,76,175,43.429,6,16,37.500,34,46,73.913,153,5.885,31,1.192,4,0.154,20,0.769,192,7.385,-,-,-
Adrian,4,2003,"Lizon, Anna",294398,Fr.,2002-03,-,-,3,0,1,-,0,0,-,1,2,50.000,2,0.667,0,-,2,0.667,1,0.333,1,0.333,-,-,-
