team,opponent,won,lost
3,31,129,180
3,32,20,16
3,33,38,23
3,34,5,3
3,35,19,8
3,36,8,11
3,37,12,10
3,38,6,5
3,39,40,21
3,40,6,7
3,41,6,4
3,42,13,11
3,43,15,8
3,44,3,3
3,45,25,41
3,46,6,7
3,47,39,25
3,48,4,4
3,49,79,57
3,50,5,2
3,51,8,5
3,52,7,8
3,53,8,6
3,54,11,4
3,55,11,21
3,56,5,6
3,57,20,11
3,58,11,11
3,59,15,26
3,60,5,6
3,61,7,12
3,62,13,4
3,63,33,35
3,64,6,3
4,5,1782,2202
4,6,1663,1035
4,7,2045,3887
4,8,1488,1327
4,9,302,366
4,10,335,480
4,11,571,1259
4,12,148,106
4,13,265,452
4,14,512,537
4,15,426,966
4,16,145,108
4,17,315,337
4,18,30,28
4,19,75,85
4,20,96,91
4,21,45,53
4,22,28,19
4,23,107,140
4,24,61,64
4,25,51,52
4,26,44,42
4,27,94,108
4,28,27,19
4,29,49,38
4,30,122,145
4,31,131,168
4,32,27,13
4,33,52,38
4,34,7,3
4,35,15,11
4,36,39,30
4,37,12,12
4,38,5,4
4,39,27,26
4,40,9,9
4,41,10,8
4,42,14,6
4,43,23,18
4,44,3,3
4,45,85,27
4,46,15,13
4,47,39,24
4,48,11,5
4,49,153,68
4,50,8,3
4,51,7,8
4,52,19,20
4,53,14,9
4,54,6,8
4,55,20,13
4,56,10,5
4,57,12,12
4,58,21,13
4,59,54,26
4,60,12,9
4,61,18,13
4,62,15,13
4,63,47,51
4,64,9,3
5,6,696846,323484
5,7,214466,394304
5,8,63046,25030
5,9,748,689
5,10,633,532
5,11,1977,4278
5,12,146,123
5,13,937,1055
5,14,517,355
5,15,1935,4287
5,16,141,111
5,17,723,1234
5,18,33,17
5,19,102,104
5,20,89,47
5,21,172,130
5,22,39,19
5,23,450,562
5,24,46,39
5,25,121,98
5,26,60,45
5,27,445,380
5,28,34,22
5,29,116,74
5,30,132,152
5,31,544,972
5,32,23,10
5,33,154,121
5,34,8,1
5,35,26,21
5,36,24,16
5,37,39,19
5,38,11,5
5,39,122,93
5,40,11,5
5,41,12,11
5,42,16,5
5,43,96,49
5,44,3,8
5,45,73,57
5,46,10,12
5,47,267,145
5,48,8,3
5,49,383,290
5,50,4,2
5,51,12,10
5,52,17,6
5,53,32,36
5,54,14,8
5,55,60,42
5,56,9,6
5,57,27,29
5,58,23,13
5,59,179,100
5,60,9,5
5,61,19,22
5,62,16,5
5,63,157,128
5,64,12,3
6,7,38955,231503
6,8,25328,27698
6,9,298,247
6,10,239,400
6,11,326,962
6,12,149,114
6,13,197,367
6,14,217,252
6,15,269,448
6,16,116,110
6,17,140,149
6,18,26,39
6,19,43,48
6,20,29,34
6,21,24,50
6,22,53,50
6,23,70,76
6,24,61,64
6,25,24,25
6,26,42,47
6,27,39,70
6,28,34,34
6,29,23,27
6,30,51,68
6,31,103,226
6,32,23,19
6,33,30,23
6,34,6,3
6,35,9,8
6,36,9,9
6,37,10,3
6,38,9,14
6,39,19,6
6,40,3,6
6,41,7,3
6,42,4,8
6,43,12,8
6,44,17,15
6,45,18,17
6,46,4,5
6,47,32,11
6,48,6,6
6,49,86,49
6,50,1,3
6,51,6,8
6,52,13,8
6,53,9,8
6,54,16,16
6,55,16,5
6,56,6,13
6,57,13,4
6,58,13,9
6,59,24,13
6,60,8,7
6,61,4,4
6,62,12,13
6,63,27,16
6,64,7,8
7,8,879228,141102
7,9,1825,901
7,10,1188,641
7,11,7749,10776
7,12,206,162
7,13,2846,1772
7,14,1319,533
7,15,5782,7993
7,16,160,95
7,17,3152,5312
7,18,28,23
7,19,208,177
7,20,93,48
7,21,323,179
7,22,45,24
7,23,1404,1346
7,24,69,54
7,25,248,106
7,26,89,50
7,27,907,626
7,28,45,21
7,29,278,102
7,30,308,256
7,31,2133,3378
7,32,31,12
7,33,672,482
7,34,7,2
7,35,53,32
7,36,42,16
7,37,111,49
7,38,9,8
7,39,295,175
7,40,13,7
7,41,42,21
7,42,18,9
7,43,180,93
7,44,11,10
7,45,250,186
7,46,25,15
7,47,777,562
7,48,2,5
7,49,1549,1001
7,50,6,0
7,51,18,11
7,52,31,12
7,53,83,46
7,54,22,16
7,55,199,110
7,56,6,6
7,57,75,43
7,58,34,22
7,59,503,302
7,60,4,7
7,61,38,28
7,62,24,7
7,63,534,432
7,64,9,4
8,9,146,224
8,10,160,214
8,11,199,533
8,12,188,168
8,13,191,372
8,14,171,220
8,15,174,393
8,16,238,635
8,17,62,109
8,18,44,52
8,19,23,31
8,20,31,34
8,21,24,27
8,22,35,41
8,23,40,61
8,24,62,115
8,25,30,39
8,26,37,29
8,27,44,56
8,28,39,38
8,29,29,33
8,30,35,67
8,31,38,100
8,32,41,21
8,33,19,20
8,34,9,6
8,35,2,8
8,36,2,13
8,37,6,10
8,38,4,7
8,39,3,9
8,40,15,9
8,41,4,10
8,42,5,3
8,43,1,6
8,44,12,14
8,45,12,14
8,46,4,7
8,47,11,13
8,48,13,4
8,49,27,27
8,50,12,7
8,51,6,6
8,52,7,6
8,53,1,11
8,54,11,14
8,55,9,3
8,56,9,11
8,57,4,7
8,58,7,2
8,59,11,19
8,60,5,17
8,61,6,6
8,62,13,8
8,63,21,26
8,64,10,10
9,10,555736,464594
9,11,110540,424451
9,12,16094,4651
9,13,11607,18461
9,14,6272,3964
9,15,23019,61458
9,16,1039,814
9,17,550,1084
9,18,28,15
9,19,113,111
9,20,55,31
9,21,143,107
9,22,85,25
9,23,287,510
9,24,64,36
9,25,237,136
9,26,69,46
9,27,273,368
9,28,42,12
9,29,132,112
9,30,130,111
9,31,398,845
9,32,40,16
9,33,114,170
9,34,8,4
9,35,15,18
9,36,11,7
9,37,38,19
9,38,4,3
9,39,95,83
9,40,8,2
9,41,26,27
9,42,12,16
9,43,33,49
9,44,9,19
9,45,52,66
9,46,22,10
9,47,104,99
9,48,7,3
9,49,238,300
9,50,3,1
9,51,15,11
9,52,18,7
9,53,20,24
9,54,9,13
9,55,55,47
9,56,11,7
9,57,37,26
9,58,18,9
9,59,68,92
9,60,7,6
9,61,14,12
9,62,16,9
9,63,167,224
9,64,4,5
10,11,71633,369469
10,12,13316,10176
10,13,8276,14756
10,14,5058,4529
10,15,14008,36419
10,16,1122,781
10,17,616,922
10,18,34,28
10,19,108,155
10,20,93,91
10,21,106,117
10,22,30,24
10,23,319,480
10,24,107,81
10,25,78,57
10,26,122,77
10,27,343,282
10,28,53,37
10,29,69,54
10,30,243,273
10,31,495,1148
10,32,62,28
10,33,151,55
10,34,11,1
10,35,18,22
10,36,40,34
10,37,28,14
10,38,19,10
10,39,79,52
10,40,8,10
10,41,10,16
10,42,19,17
10,43,95,43
10,44,14,12
10,45,85,64
10,46,28,21
10,47,148,74
10,48,6,7
10,49,418,222
10,50,6,8
10,51,16,17
10,52,27,14
10,53,29,13
10,54,43,28
10,55,42,22
10,56,11,11
10,57,69,39
10,58,52,44
10,59,157,61
10,60,8,13
10,61,15,13
10,62,27,18
10,63,134,67
10,64,13,10
11,12,976093,44237
11,13,167315,56830
11,14,29858,7178
11,15,323651,205846
11,16,2409,833
11,17,15321,23802
11,18,40,24
11,19,632,382
11,20,200,72
11,21,1264,398
11,22,85,73
11,23,6904,5243
11,24,166,120
11,25,720,208
11,26,246,97
11,27,3793,1539
11,28,106,56
11,29,584,208
11,30,918,641
11,31,13418,17261
11,32,42,15
11,33,3389,2771
11,34,15,5
11,35,156,138
11,36,114,77
11,37,385,181
11,38,22,16
11,39,1418,737
11,40,12,14
11,41,113,66
11,42,23,34
11,43,639,300
11,44,17,17
11,45,1026,689
11,46,43,41
11,47,3589,2458
11,48,7,11
11,49,7912,6429
11,50,10,6
11,51,43,37
11,52,50,40
11,53,216,103
11,54,37,28
11,55,459,199
11,56,29,150
11,57,194,98
11,58,94,78
11,59,2725,1382
11,60,14,9
11,61,95,49
11,62,71,25
11,63,3185,2132
11,64,12,5
12,13,668,1665
12,14,751,1331
12,15,876,3098
12,16,1014,5424
12,17,52,68
12,18,29,34
12,19,28,35
12,20,25,15
12,21,19,41
12,22,23,24
12,23,34,43
12,24,61,88
12,25,25,35
12,26,20,23
12,27,26,24
12,28,30,46
12,29,23,22
12,30,35,50
12,31,44,40
12,32,32,35
12,33,16,10
12,34,10,3
12,35,5,9
12,36,12,10
12,37,4,3
12,38,8,3
12,39,11,11
12,40,2,9
12,41,10,5
12,42,4,7
12,43,5,9
12,44,16,11
12,45,9,11
12,46,8,3
12,47,11,9
12,48,7,3
12,49,36,14
12,50,2,7
12,51,2,6
12,52,8,6
12,53,4,6
12,54,8,6
12,55,4,8
12,56,10,7
12,57,8,7
12,58,3,10
12,59,9,9
12,60,8,5
12,61,6,7
12,62,2,8
12,63,12,10
12,64,8,6
13,14,705145,315185
13,15,265389,421321
13,16,14189,4246
13,17,1520,2933
13,18,45,36
13,19,174,150
13,20,124,48
13,21,216,170
13,22,47,25
13,23,671,897
13,24,59,55
13,25,203,128
13,26,116,45
13,27,541,443
13,28,37,30
13,29,325,158
13,30,235,182
13,31,1231,2406
13,32,40,16
13,33,292,241
13,34,7,3
13,35,41,35
13,36,26,22
13,37,198,102
13,38,11,11
13,39,204,138
13,40,12,14
13,41,34,24
13,42,19,12
13,43,123,68
13,44,12,9
13,45,166,136
13,46,11,15
13,47,293,224
13,48,6,5
13,49,601,512
13,50,5,3
13,51,29,14
13,52,33,14
13,53,53,32
13,54,25,16
13,55,77,52
13,56,12,6
13,57,64,40
13,58,28,17
13,59,332,261
13,60,6,18
13,61,21,16
13,62,36,16
13,63,384,333
13,64,8,6
14,15,49471,247054
14,16,9470,9190
14,17,465,593
14,18,31,29
14,19,73,91
14,20,78,70
14,21,69,61
14,22,39,15
14,23,191,258
14,24,71,72
14,25,77,46
14,26,64,55
14,27,91,110
14,28,28,25
14,29,65,63
14,30,189,229
14,31,236,313
14,32,21,20
14,33,69,42
14,34,8,4
14,35,13,14
14,36,38,26
14,37,23,6
14,38,5,6
14,39,80,45
14,40,10,6
14,41,12,7
14,42,10,7
14,43,30,23
14,44,9,6
14,45,109,47
14,46,20,13
14,47,95,41
14,48,7,7
14,49,251,120
14,50,8,6
14,51,10,4
14,52,31,16
14,53,10,12
14,54,11,9
14,55,27,16
14,56,14,8
14,57,13,15
14,58,36,23
14,59,59,35
14,60,5,5
14,61,22,18
14,62,16,19
14,63,71,53
14,64,6,1
15,16,983235,37095
15,17,9232,11128
15,18,59,32
15,19,502,270
15,20,232,89
15,21,836,312
15,22,48,32
15,23,4466,2899
15,24,102,66
15,25,647,195
15,26,187,84
15,27,3814,1392
15,28,62,32
15,29,383,172
15,30,615,418
15,31,7928,8841
15,32,42,29
15,33,2267,1636
15,34,13,4
15,35,69,60
15,36,62,45
15,37,196,113
15,38,16,20
15,39,1565,769
15,40,6,12
15,41,68,33
15,42,21,19
15,43,875,391
15,44,12,14
15,45,540,361
15,46,45,34
15,47,1997,1201
15,48,12,8
15,49,5037,3993
15,50,9,8
15,51,36,37
15,52,43,24
15,53,159,71
15,54,29,17
15,55,435,177
15,56,10,7
15,57,134,64
15,58,92,48
15,59,1735,762
15,60,14,18
15,61,88,55
15,62,28,17
15,63,2221,1283
15,64,8,12
16,17,39,61
16,18,63,203
16,19,15,51
16,20,26,41
16,21,24,26
16,22,21,13
16,23,28,46
16,24,39,72
16,25,10,17
16,26,22,33
16,27,24,31
16,28,27,51
16,29,13,19
16,30,29,37
16,31,39,80
16,32,76,299
16,33,15,15
16,34,16,17
16,35,2,7
16,36,2,3
16,37,5,6
16,38,3,6
16,39,3,5
16,40,6,8
16,41,3,5
16,42,5,3
16,43,1,3
16,44,9,11
16,45,6,11
16,46,2,4
16,47,5,7
16,48,17,14
16,49,19,23
16,50,9,10
16,51,3,3
16,52,4,5
16,53,1,5
16,54,5,6
16,55,6,4
16,56,10,13
16,57,7,5
16,58,9,5
16,59,4,8
16,60,5,17
16,61,4,6
16,62,3,8
16,63,15,19
16,64,17,12
17,18,1000011,20319
17,19,576304,41109
17,20,362691,19907
17,21,181571,26995
17,22,17141,1488
17,23,508818,175976
17,24,24447,2559
17,25,16726,3649
17,26,3725,1033
17,27,83849,27971
17,28,1067,315
17,29,12151,3016
17,30,18792,5568
17,31,287780,265530
17,32,492,313
17,33,12944,5604
17,34,18,13
17,35,238,165
17,36,140,103
17,37,1134,369
17,38,36,37
17,39,4602,1441
17,40,23,13
17,41,184,78
17,42,48,47
17,43,2422,573
17,44,23,23
17,45,3603,1788
17,46,62,55
17,47,17699,5971
17,48,17,13
17,49,28590,15189
17,50,9,10
17,51,91,63
17,52,79,29
17,53,554,156
17,54,67,39
17,55,997,307
17,56,15,23
17,57,434,163
17,58,119,65
17,59,11516,2955
17,60,10,18
17,61,202,205
17,62,72,30
17,63,14385,4581
17,64,28,28
18,19,2815,5017
18,20,7505,4982
18,21,528,819
18,22,656,614
18,23,645,1259
18,24,4739,1060
18,25,111,124
18,26,148,128
18,27,126,154
18,28,247,158
18,29,102,127
18,30,157,194
18,31,200,267
18,32,4087,238
18,33,17,9
18,34,1108,602
18,35,9,9
18,36,10,2
18,37,8,5
18,38,7,9
18,39,7,8
18,40,11,18
18,41,4,4
18,42,7,5
18,43,8,5
18,44,19,26
18,45,9,15
18,46,7,6
18,47,12,6
18,48,24,15
18,49,38,30
18,50,280,144
18,51,7,5
18,52,6,5
18,53,4,7
18,54,11,16
18,55,9,1
18,56,11,13
18,57,3,5
18,58,12,5
18,59,11,5
18,60,17,28
18,61,3,2
18,62,10,11
18,63,16,12
18,64,29,31
19,20,625245,395085
19,21,6306,5994
19,22,1786,844
19,23,8683,18207
19,24,2926,1380
19,25,781,667
19,26,540,300
19,27,1594,2487
19,28,272,120
19,29,576,580
19,30,1154,1121
19,31,2534,6718
19,32,173,84
19,33,119,99
19,34,12,5
19,35,35,24
19,36,49,31
19,37,25,21
19,38,13,10
19,39,107,75
19,40,13,11
19,41,16,12
19,42,16,7
19,43,74,46
19,44,22,13
19,45,84,77
19,46,24,19
19,47,96,65
19,48,7,3
19,49,284,209
19,50,6,2
19,51,31,25
19,52,23,7
19,53,52,39
19,54,10,8
19,55,37,31
19,56,20,13
19,57,19,18
19,58,55,44
19,59,66,44
19,60,7,3
19,61,25,29
19,62,22,13
19,63,141,140
19,64,7,4
20,21,2860,3833
20,22,1368,854
20,23,3115,9067
20,24,1888,1904
20,25,277,440
20,26,263,291
20,27,629,1489
20,28,226,160
20,29,304,422
20,30,641,914
20,31,649,2254
20,32,168,104
20,33,11,36
20,34,3,2
20,35,6,8
20,36,40,28
20,37,8,10
20,38,10,8
20,39,30,26
20,40,6,2
20,41,12,5
20,42,13,3
20,43,51,47
20,44,8,4
20,45,12,28
20,46,13,14
20,47,14,27
20,48,3,3
20,49,43,75
20,50,2,2
20,51,11,7
20,52,18,19
20,53,15,13
20,54,8,7
20,55,9,18
20,56,2,7
20,57,8,16
20,58,14,16
20,59,39,36
20,60,6,9
20,61,5,4
20,62,6,14
20,63,19,34
20,64,6,7
21,22,840919,179411
21,23,181207,592535
21,24,47699,19478
21,25,1315,983
21,26,788,408
21,27,3033,5047
21,28,240,172
21,29,972,773
21,30,1246,1099
21,31,5298,16013
21,32,146,108
21,33,173,164
21,34,3,1
21,35,18,21
21,36,52,35
21,37,38,39
21,38,12,3
21,39,116,100
21,40,10,2
21,41,20,15
21,42,9,3
21,43,72,88
21,44,23,18
21,45,69,63
21,46,20,12
21,47,175,133
21,48,6,7
21,49,427,275
21,50,6,4
21,51,10,16
21,52,12,16
21,53,40,21
21,54,12,7
21,55,43,35
21,56,14,21
21,57,29,25
21,58,12,5
21,59,155,115
21,60,4,8
21,61,16,11
21,62,8,5
21,63,195,162
21,64,6,5
22,23,13716,133235
22,24,11035,21425
22,25,142,261
22,26,173,215
22,27,240,324
22,28,122,127
22,29,151,235
22,30,188,296
22,31,295,795
22,32,131,105
22,33,12,15
22,34,9,7
22,35,6,6
22,36,2,6
22,37,6,4
22,38,5,6
22,39,11,8
22,40,11,8
22,41,5,6
22,42,6,6
22,43,10,30
22,44,12,11
22,45,8,7
22,46,5,6
22,47,9,5
22,48,8,2
22,49,27,18
22,50,6,2
22,51,5,1
22,52,9,4
22,53,10,7
22,54,17,12
22,55,5,8
22,56,10,5
22,57,5,2
22,58,2,7
22,59,6,8
22,60,9,7
22,61,3,3
22,62,12,15
22,63,14,10
22,64,12,9
23,24,920693,99637
23,25,6549,2129
23,26,1853,600
23,27,22914,12856
23,28,617,235
23,29,5186,1800
23,30,8141,3168
23,31,52135,85968
23,32,227,131
23,33,1593,1264
23,34,11,5
23,35,168,124
23,36,78,58
23,37,209,110
23,38,13,18
23,39,1119,687
23,40,11,3
23,41,62,49
23,42,25,15
23,43,479,237
23,44,13,12
23,45,761,437
23,46,43,40
23,47,2055,1219
23,48,10,7
23,49,5121,4007
23,50,8,8
23,51,46,41
23,52,40,23
23,53,135,57
23,54,29,16
23,55,348,173
23,56,16,8
23,57,147,67
23,58,98,49
23,59,1375,695
23,60,13,8
23,61,45,42
23,62,61,23
23,63,1714,1053
23,64,11,15
24,25,318,360
24,26,304,297
24,27,307,531
24,28,301,257
24,29,208,302
24,30,454,635
24,31,550,1110
24,32,387,582
24,33,32,24
24,34,43,10
24,35,16,8
24,36,13,12
24,37,12,11
24,38,17,12
24,39,17,20
24,40,25,19
24,41,12,15
24,42,16,13
24,43,12,9
24,44,29,29
24,45,25,23
24,46,9,13
24,47,33,20
24,48,23,12
24,49,93,66
24,50,25,14
24,51,6,4
24,52,14,16
24,53,12,6
24,54,31,19
24,55,31,22
24,56,30,18
24,57,6,8
24,58,31,17
24,59,29,14
24,60,16,17
24,61,12,11
24,62,32,20
24,63,21,22
24,64,33,15
25,26,653481,366849
25,27,157802,451383
25,28,30334,13962
25,29,6840,8088
25,30,7490,11061
25,31,19579,133378
25,32,923,777
25,33,75,143
25,34,2,5
25,35,10,18
25,36,13,10
25,37,18,21
25,38,45,4
25,39,36,88
25,40,4,10
25,41,38,14
25,42,10,8
25,43,24,22
25,44,11,2
25,45,25,53
25,46,12,8
25,47,40,74
25,48,6,5
25,49,114,205
25,50,7,5
25,51,11,9
25,52,8,9
25,53,17,12
25,54,6,10
25,55,28,63
25,56,5,5
25,57,23,23
25,58,10,9
25,59,30,48
25,60,6,6
25,61,16,9
25,62,8,8
25,63,74,156
25,64,8,10
26,27,69978,258654
26,28,20073,18144
26,29,1874,4110
26,30,2964,7978
26,31,5412,66275
26,32,816,622
26,33,32,25
26,34,13,7
26,35,9,10
26,36,30,22
26,37,18,13
26,38,7,7
26,39,23,26
26,40,8,7
26,41,4,13
26,42,16,15
26,43,24,15
26,44,8,10
26,45,22,26
26,46,9,12
26,47,41,39
26,48,3,2
26,49,96,68
26,50,8,5
26,51,10,7
26,52,9,8
26,53,34,23
26,54,9,12
26,55,19,13
26,56,9,6
26,57,9,6
26,58,20,17
26,59,24,17
26,60,3,9
26,61,5,4
26,62,9,13
26,63,51,43
26,64,5,7
27,28,937817,82513
27,29,18196,12622
27,30,25084,21332
27,31,118986,511933
27,32,1285,599
27,33,480,805
27,34,0,2
27,35,36,45
27,36,42,36
27,37,79,78
27,38,13,11
27,39,316,354
27,40,6,10
27,41,40,23
27,42,8,14
27,43,289,224
27,44,10,9
27,45,208,215
27,46,16,19
27,47,448,716
27,48,10,7
27,49,957,1520
27,50,6,3
27,51,20,19
27,52,22,13
27,53,77,58
27,54,19,18
27,55,153,102
27,56,1,6
27,57,88,69
27,58,36,27
27,59,402,511
27,60,10,22
27,61,25,20
27,62,17,11
27,63,484,687
27,64,13,4
28,29,840,2085
28,30,1306,3397
28,31,1519,16510
28,32,971,5478
28,33,9,13
28,34,13,5
28,35,5,8
28,36,6,9
28,37,5,10
28,38,3,3
28,39,15,17
28,40,5,12
28,41,4,5
28,42,3,3
28,43,4,5
28,44,13,11
28,45,7,13
28,46,21,35
28,47,14,11
28,48,11,5
28,49,24,21
28,50,7,5
28,51,4,3
28,52,11,5
28,53,3,8
28,54,7,6
28,55,5,10
28,56,11,8
28,57,7,8
28,58,6,9
28,59,10,12
28,60,12,10
28,61,4,5
28,62,13,8
28,63,11,18
28,64,12,5
29,30,427578,592752
29,31,49235,369668
29,32,5420,3255
29,33,68,98
29,34,0,2
29,35,24,16
29,36,18,12
29,37,30,28
29,38,6,4
29,39,42,54
29,40,3,8
29,41,11,11
29,42,10,16
29,43,22,25
29,44,2,5
29,45,39,58
29,46,9,9
29,47,136,137
29,48,3,5
29,49,131,136
29,50,1,0
29,51,31,5
29,52,8,6
29,53,13,18
29,54,6,9
29,55,28,20
29,56,10,11
29,57,19,28
29,58,8,17
29,59,49,60
29,60,2,8
29,61,16,11
29,62,15,11
29,63,65,65
29,64,3,5
30,31,72518,503924
30,32,8094,8216
30,33,210,106
30,34,19,3
30,35,47,19
30,36,87,23
30,37,45,22
30,38,11,11
30,39,189,139
30,40,12,7
30,41,22,18
30,42,59,30
30,43,99,45
30,44,20,14
30,45,322,151
30,46,54,17
30,47,213,98
30,48,13,7
30,49,703,320
30,50,21,2
30,51,19,9
30,52,46,25
30,53,36,22
30,54,29,15
30,55,59,42
30,56,12,13
30,57,26,24
30,58,77,36
30,59,161,71
30,60,9,9
30,61,29,16
30,62,46,24
30,63,267,130
30,64,22,5
31,32,995345,24985
31,33,11906,6127
31,34,15,7
31,35,192,154
31,36,143,88
31,37,684,321
31,38,22,27
31,39,3493,1227
31,40,18,19
31,41,115,82
31,42,48,51
31,43,1760,498
31,44,33,126
31,45,2252,986
31,46,50,41
31,47,12259,5340
31,48,11,4
31,49,21900,13843
31,50,5,7
31,51,100,105
31,52,55,29
31,53,563,309
31,54,37,34
31,55,640,236
31,56,26,25
31,57,306,147
31,58,133,133
31,59,7498,2215
31,60,10,25
31,61,90,64
31,62,48,35
31,63,11822,4907
31,64,18,16
32,33,6,12
32,34,17,17
32,35,2,7
32,36,6,13
32,37,1,3
32,38,5,2
32,39,3,10
32,40,2,9
32,41,5,2
32,42,4,4
32,43,5,4
32,44,6,7
32,45,7,12
32,46,2,4
32,47,2,3
32,48,13,29
32,49,6,26
32,50,12,12
32,51,2,4
32,52,1,5
32,53,3,5
32,54,9,10
32,55,2,4
32,56,5,6
32,57,0,6
32,58,2,10
32,59,3,8
32,60,4,12
32,61,1,4
32,62,5,5
32,63,7,15
32,64,50,196
33,34,996269,24061
33,35,493117,89042
33,36,362292,51818
33,37,203232,73859
33,38,21381,2826
33,39,341752,201764
33,40,9077,1518
33,41,13027,3374
33,42,2746,962
33,43,75606,35615
33,44,1183,409
33,45,54843,39190
33,46,2962,1074
33,47,162098,180788
33,48,1300,265
33,49,67209,101869
33,50,49,55
33,51,470,267
33,52,416,221
33,53,2918,1160
33,54,303,167
33,55,4429,2235
33,56,140,247
33,57,2312,855
33,58,539,359
33,59,27637,18194
33,60,63,67
33,61,645,337
33,62,554,187
33,63,38690,40882
33,64,112,177
34,35,2716,5954
34,36,7775,7616
34,37,479,670
34,38,642,694
34,39,809,1456
34,40,4877,864
34,41,94,108
34,42,117,139
34,43,127,154
34,44,223,352
34,45,135,225
34,46,130,164
34,47,140,203
34,48,4191,305
34,49,63,162
34,50,2428,1402
34,51,16,29
34,52,20,39
34,53,18,35
34,54,19,40
34,55,22,23
34,56,25,44
34,57,14,34
34,58,28,49
34,59,23,29
34,60,29,75
34,61,22,18
34,62,20,35
34,63,32,96
34,64,171,97
35,36,590829,429501
35,37,13449,18062
35,38,4162,1470
35,39,18681,36386
35,40,1873,913
35,41,723,593
35,42,426,273
35,43,2159,4506
35,44,253,170
35,45,2262,6188
35,46,627,406
35,47,4112,15166
35,48,191,110
35,49,1420,3338
35,50,25,11
35,51,92,75
35,52,96,62
35,53,169,177
35,54,79,40
35,55,197,243
35,56,35,25
35,57,149,196
35,58,116,95
35,59,563,1341
35,60,13,53
35,61,79,77
35,62,97,68
35,63,534,1231
35,64,29,28
36,37,6244,9739
36,38,3485,1695
36,39,10387,24276
36,40,2036,1572
36,41,556,560
36,42,456,348
36,43,1737,2742
36,44,309,241
36,45,1456,3180
36,46,1191,791
36,47,2205,5938
36,48,267,175
36,49,983,2176
36,50,33,22
36,51,98,49
36,52,175,145
36,53,133,174
36,54,108,80
36,55,196,213
36,56,57,41
36,57,149,145
36,58,221,214
36,59,338,634
36,60,58,52
36,61,79,95
36,62,113,88
36,63,456,773
36,64,48,31
37,38,795107,225223
37,39,282357,460366
37,40,43377,9007
37,41,2071,1077
37,42,930,357
37,43,8334,10237
37,44,431,216
37,45,8882,12623
37,46,726,395
37,47,15164,40522
37,48,237,128
37,49,2527,12252
37,50,28,18
37,51,132,98
37,52,90,58
37,53,420,430
37,54,206,107
37,55,316,445
37,56,70,48
37,57,462,396
37,58,102,82
37,59,2136,7516
37,60,29,31
37,61,182,303
37,62,162,103
37,63,1652,6297
37,64,43,34
38,39,24633,175145
38,40,11722,13723
38,41,183,287
38,42,212,280
38,43,337,767
38,44,192,202
38,45,364,1003
38,46,259,319
38,47,489,1464
38,48,178,149
38,49,155,329
38,50,21,24
38,51,42,49
38,52,37,56
38,53,96,90
38,54,41,84
