BEGIN
CREATE TABLE
INSERT 0 3982
        coach        |  g  | w  | l  |  ew  | diff 
 Dan Dakich          |   1 |  0 |  1 |  0.6 | -0.6
 Ladell Andersen     |   3 |  1 |  2 |  1.6 | -0.6
 Steve Hawkins       |   2 |  0 |  2 |  0.6 | -0.6
 Brian Ellerbe       |   2 |  1 |  1 |  1.6 | -0.6
 Ray McCallum        |   3 |  0 |  3 |  0.6 | -0.6
 Roger Reid          |   7 |  2 |  5 |  2.6 | -0.6
 Don DeVoe           |   4 |  0 |  4 |  0.6 | -0.6
 Dave Bliss          |  15 |  6 |  9 |  6.6 | -0.6
 Seth Greenberg      |   4 |  1 |  3 |  1.6 | -0.6
 Kerry Rupp          |   1 |  0 |  1 |  0.6 | -0.6
 Marv Harshman       |   1 |  0 |  1 |  0.6 | -0.6
 Ernie Kent          |  12 |  6 |  6 |  6.6 | -0.6
 Pat Knight          |   1 |  0 |  1 |  0.6 | -0.6
 Ronnie Arrow        |   5 |  1 |  4 |  1.6 | -0.6
 Rich Herrin         |   3 |  0 |  3 |  0.7 | -0.7
 Ralph Willard       |   8 |  2 |  6 |  2.7 | -0.7
 Ronnie Courtney     |   1 |  0 |  1 |  0.7 | -0.7
 Billy Taylor        |   1 |  0 |  1 |  0.7 | -0.7
 Brad Soderberg      |   1 |  0 |  1 |  0.7 | -0.7
 David Paulsen       |   2 |  0 |  2 |  0.7 | -0.7
 Matt Doherty        |   2 |  1 |  1 |  1.7 | -0.7
 Keno Davis          |   1 |  0 |  1 |  0.7 | -0.7
 M.K. Turk           |   2 |  0 |  2 |  0.7 | -0.7
 Murry Bartow        |   4 |  0 |  4 |  0.7 | -0.7
 Jim Christian       |   2 |  0 |  2 |  0.7 | -0.7
 Scott Sutton        |   3 |  0 |  3 |  0.8 | -0.8
 Steve Robinson      |   5 |  2 |  3 |  2.8 | -0.8
 Lynn Nance          |   1 |  0 |  1 |  0.8 | -0.8
 Randy Peele         |   3 |  0 |  3 |  0.8 | -0.8
 Billy Gillispie     |   7 |  3 |  4 |  3.8 | -0.8
 Steve Masiello      |   2 |  0 |  2 |  0.8 | -0.8
 Tim Miles           |   2 |  0 |  2 |  0.8 | -0.8
 Jimmy Collins       |   3 |  0 |  3 |  0.8 | -0.8
 Lewis Jackson       |   2 |  0 |  2 |  0.8 | -0.8
 Riley Wallace       |   3 |  0 |  3 |  0.8 | -0.8
 Randy Bennett       |   8 |  3 |  5 |  3.8 | -0.8
 Barry Collier       |   3 |  0 |  3 |  0.8 | -0.8
 Digger Phelps       |  10 |  4 |  6 |  4.8 | -0.8
 Tom Crean           |  17 |  9 |  8 |  9.8 | -0.8
 Bob Wenzel          |   3 |  0 |  3 |  0.9 | -0.9
 Al Skinner          |  16 |  7 |  9 |  7.9 | -0.9
 Jim Molinari        |   2 |  0 |  2 |  0.9 | -0.9
 Leonard Hamilton    |  13 |  6 |  7 |  6.9 | -0.9
 Dick Bennett        |  12 |  5 |  7 |  5.9 | -0.9
 Mike Deane          |   6 |  2 |  4 |  2.9 | -0.9
 Jim Crews           |   9 |  3 |  6 |  4.0 | -1.0
 Ed Cooley           |   2 |  0 |  2 |  1.0 | -1.0
 Marvin Menzies      |   5 |  0 |  5 |  1.0 | -1.0
 Gene Bartow         |   7 |  2 |  5 |  3.0 | -1.0
 Dennis Felton       |   4 |  0 |  4 |  1.0 | -1.0
 Bobby Lutz          |   7 |  2 |  5 |  3.0 | -1.0
 Rob Evans           |   4 |  1 |  3 |  2.0 | -1.0
 Jeff Mullins        |   3 |  0 |  3 |  1.1 | -1.1
 Brad Brownell       |   5 |  1 |  4 |  2.1 | -1.1
 J.D. Barnett        |   4 |  1 |  3 |  2.1 | -1.1
 Mike Vining         |   6 |  0 |  6 |  1.1 | -1.1
 Dave Odom           |  19 | 10 |  9 | 11.1 | -1.1
 Greg McDermott      |   9 |  3 |  6 |  4.1 | -1.1
 Leon Rice           |   2 |  0 |  2 |  1.1 | -1.1
 Charles Moir        |   2 |  0 |  2 |  1.2 | -1.2
 Johnny Orr          |   9 |  3 |  6 |  4.2 | -1.2
 Frank Haith         |   4 |  1 |  3 |  2.2 | -1.2
 Kevin O'Neill       |   6 |  2 |  4 |  3.2 | -1.2
 Mike Brey           |  21 |  9 | 12 | 10.2 | -1.2
 Charles Spoonhour   |  11 |  3 |  8 |  4.2 | -1.2
 Kermit Davis        |   3 |  0 |  3 |  1.2 | -1.2
 Bruiser Flint       |   2 |  0 |  2 |  1.2 | -1.2
 Jud Heathcote       |  14 |  7 |  7 |  8.3 | -1.3
 Dave Rice           |   2 |  0 |  2 |  1.3 | -1.3
 Pete Carril         |   6 |  1 |  5 |  2.3 | -1.3
 Pat Foster          |   3 |  0 |  3 |  1.3 | -1.3
 Ralph Miller        |   3 |  0 |  3 |  1.4 | -1.4
 Gene Keady          |  33 | 18 | 15 | 19.4 | -1.4
 Rick Stansbury      |  10 |  4 |  6 |  5.4 | -1.4
 Speedy Morris       |   5 |  1 |  4 |  2.5 | -1.5
 Blaine Taylor       |   7 |  1 |  6 |  2.5 | -1.5
 Rick Byrd           |   7 |  0 |  7 |  1.5 | -1.5
 Tom Asbury          |   4 |  0 |  4 |  1.5 | -1.5
 Steve Cleveland     |   3 |  0 |  3 |  1.6 | -1.6
 Tony Bennett        |  11 |  6 |  5 |  7.6 | -1.6
 Billy Tubbs         |  22 | 14 |  8 | 15.8 | -1.8
 Tim Welsh           |   3 |  0 |  3 |  1.8 | -1.8
 Hugh Durham         |   5 |  1 |  4 |  2.8 | -1.8
 George Raveling     |   5 |  1 |  4 |  2.9 | -1.9
 Jerry Green         |   8 |  3 |  5 |  4.9 | -1.9
 Travis Ford         |   7 |  1 |  6 |  3.0 | -2.0
 John Thompson       |  53 | 31 | 22 | 33.0 | -2.0
 Steve Lappas        |   6 |  2 |  4 |  4.1 | -2.1
 Mike Montgomery     |  34 | 18 | 16 | 20.6 | -2.6
 Jamie Dixon         |  22 | 12 | 10 | 14.6 | -2.6
 Stew Morrill        |  10 |  1 |  9 |  3.6 | -2.6
 Dave Rose           |  12 |  4 |  8 |  6.8 | -2.8
 Bob Huggins         |  50 | 29 | 21 | 31.8 | -2.8
 Oliver Purnell      |   6 |  0 |  6 |  2.9 | -2.9
 Danny Nee           |   6 |  0 |  6 |  3.0 | -3.0
 Lou Henson          |  19 |  9 | 10 | 12.0 | -3.0
 Eddie Fogler        |   8 |  2 |  6 |  5.0 | -3.0
 Skip Prosser        |  15 |  6 |  9 |  9.1 | -3.1
 Norm Stewart        |  17 |  7 | 10 | 10.3 | -3.3
 Bob Knight          |  42 | 24 | 18 | 27.3 | -3.3
 Fran Dunphy         |  18 |  3 | 15 |  6.4 | -3.4
 Kelvin Sampson      |  26 | 12 | 14 | 16.1 | -4.1
 Rick Barnes         |  43 | 21 | 22 | 26.8 | -5.8
(522 rows)

COPY 522
COMMIT
