coach,g,w,l,ew,diff
Steve Prohm,7,4,3,3.9,0.1
Bobby Gonzalez,3,1,2,0.9,0.1
C.M. Newton,4,2,2,1.9,0.1
Roy Thomas,1,0,1,0.0,0.0
Bill Carmody,5,2,3,2.0,0.0
Butch Beard,1,0,1,0.0,0.0
Mike Miller,1,0,1,0.0,0.0
Andy Stoglin,2,0,2,0.0,0.0
Tiny Grant,3,1,2,1.0,0.0
Billy Kennedy,6,3,3,3.0,0.0
Scott Cross,1,0,1,0.0,0.0
Jan Van Breda Kolff,3,1,2,1.0,0.0
Eddie Payne,1,0,1,0.0,0.0
Randy Dunton,1,0,1,0.0,0.0
Brad Greenberg,1,0,1,0.0,0.0
Mike Dement,1,0,1,0.0,0.0
Patrick Chambers,1,0,1,0.0,0.0
Elwood Plummer,1,0,1,0.0,0.0
Paul Cormier,1,0,1,0.0,0.0
Greg Jackson,1,0,1,0.0,0.0
Lorenzo Romar,15,8,7,8.0,0.0
Bob Reinhart,1,0,1,0.0,0.0
Alan LeForce,3,1,2,1.0,0.0
Phil Martelli,14,7,7,7.0,0.0
Eddie Burke,1,0,1,0.0,0.0
Bob McKillop,11,3,8,3.0,0.0
Charlie Coles,6,2,4,2.0,0.0
Ron Bradley,1,0,1,0.0,0.0
Mike Jarvis,16,7,9,7.0,0.0
Matt Furjanic,1,0,1,0.0,0.0
Billy Lee,1,0,1,0.0,0.0
James Green,1,0,1,0.0,0.0
Tony Barone,3,1,2,1.0,0.0
Mickey Clayton,1,0,1,0.0,0.0
T.J. Otzelberger,1,0,1,0.0,0.0
Jim Phelan,2,0,2,0.0,0.0
Bruce Stewart,4,1,3,1.0,0.0
Jeff Meyer,1,0,1,0.0,0.0
Jimmy Patsos,1,0,1,0.0,0.0
Mike Cingiser,1,0,1,0.0,0.0
Tim O'Shea,1,0,1,0.1,-0.1
Brian Mahoney,2,1,1,1.1,-0.1
Brian Jones,1,0,1,0.1,-0.1
Rob Spivery,3,0,3,0.1,-0.1
Paul Weir,1,0,1,0.1,-0.1
Al Brown,1,0,1,0.1,-0.1
Jimmy Gales,1,0,1,0.1,-0.1
Neil McCarthy,8,3,5,3.1,-0.1
Nathan Davis,1,0,1,0.1,-0.1
John Dunne,1,0,1,0.1,-0.1
Gale Catlett,8,3,5,3.1,-0.1
Sydney Johnson,1,0,1,0.1,-0.1
Robert Hopkins,1,0,1,0.1,-0.1
Bob Burton,1,0,1,0.1,-0.1
Will Brown,6,1,5,1.1,-0.1
Dickey Nutt,1,0,1,0.1,-0.1
Bill Bibb,1,0,1,0.1,-0.1
Kevin Bannon,2,0,2,0.1,-0.1
Lafayette Stribling,3,0,3,0.1,-0.1
B.J. Hill,1,0,1,0.1,-0.1
Russ Turner,1,0,1,0.1,-0.1
Nicholas McDevitt,1,0,1,0.1,-0.1
Stu Starner,1,0,1,0.1,-0.1
Louis Orr,3,1,2,1.1,-0.1
Phil Cunningham,1,0,1,0.1,-0.1
Tom Schneider,2,0,2,0.1,-0.1
Bill Evans,1,0,1,0.1,-0.1
Robert Lee,1,0,1,0.1,-0.1
David Richman,1,0,1,0.1,-0.1
Lynn Archibald,1,0,1,0.1,-0.1
Nate Oats,1,0,1,0.1,-0.1
Don Holst,1,0,1,0.1,-0.1
Jim Wooldridge,1,0,1,0.1,-0.1
Terry Truax,2,0,2,0.1,-0.1
Jeff Neubauer,2,0,2,0.1,-0.1
Monte Ross,1,0,1,0.1,-0.1
Sidney Green,1,0,1,0.1,-0.1
Jim Boutin,1,0,1,0.1,-0.1
Mike Brennan,1,0,1,0.1,-0.1
Bill Self,61,43,18,43.1,-0.1
Craig Littlepage,1,0,1,0.1,-0.1
Steve Welch,1,0,1,0.1,-0.1
Rob Chavez,1,0,1,0.1,-0.1
Rick Samuels,2,0,2,0.1,-0.1
Bobby Hussey,1,0,1,0.1,-0.1
Dave Magarity,1,0,1,0.1,-0.1
Phil Hopkins,1,0,1,0.1,-0.1
Bill Coen,1,0,1,0.1,-0.1
Glen Miller,1,0,1,0.1,-0.1
Greg Lansing,1,0,1,0.1,-0.1
John Brannen,1,0,1,0.1,-0.1
Randy Monroe,1,0,1,0.1,-0.1
Jack Bruen,2,0,2,0.1,-0.1
Ernie Nestor,1,0,1,0.1,-0.1
Ralph Underhill,1,0,1,0.1,-0.1
Kevin Broadus,1,0,1,0.1,-0.1
Carroll Williams,1,0,1,0.1,-0.1
John Shulman,2,0,2,0.1,-0.1
Rob Senderoff,1,0,1,0.1,-0.1
Tom Conrad,1,0,1,0.1,-0.1
Greg Kampe,4,1,3,1.1,-0.1
Dereck Whittenburg,1,0,1,0.1,-0.1
Mitch Buonaguro,2,0,2,0.1,-0.1
Linc Darner,1,0,1,0.1,-0.1
Greg Graham,1,0,1,0.1,-0.1
Murray Arnold,2,1,1,1.1,-0.1
Tim Carter,2,0,2,0.1,-0.1
Ken Burmeister,1,0,1,0.2,-0.2
Gary Garner,1,0,1,0.2,-0.2
Scott Edgar,2,0,2,0.2,-0.2
Mike Rice,2,0,2,0.2,-0.2
Jim Ferry,2,0,2,0.2,-0.2
George Felton,1,0,1,0.2,-0.2
Will Wade,3,1,2,1.2,-0.2
Frank Kerns,2,0,2,0.2,-0.2
Dan Fitzgerald,1,0,1,0.2,-0.2
Les Robinson,4,1,3,1.2,-0.2
Russ Bergman,2,0,2,0.2,-0.2
Bill Musselman,1,0,1,0.2,-0.2
Buzz Peterson,1,0,1,0.2,-0.2
Ken Bone,2,0,2,0.2,-0.2
Scott Drew,17,10,7,10.2,-0.2
Shelby Metcalf,1,0,1,0.2,-0.2
Randy Rahe,3,0,3,0.2,-0.2
Todd Bozeman,7,2,5,2.2,-0.2
Jim Hayford,1,0,1,0.2,-0.2
Steve Forbes,1,0,1,0.2,-0.2
Fran O'Hanlon,3,0,3,0.2,-0.2
Don Maestri,1,0,1,0.2,-0.2
Larry Shyatt,1,0,1,0.2,-0.2
Reggie Theus,1,0,1,0.2,-0.2
Charles Woollum,2,0,2,0.2,-0.2
Frankie Allen,2,0,2,0.2,-0.2
Mike Adras,1,0,1,0.2,-0.2
Wayne Szoke,1,0,1,0.2,-0.2
Larry Reynolds,1,0,1,0.2,-0.2
Nick Macarchuk,1,0,1,0.2,-0.2
Kermit Davis,7,2,5,2.2,-0.2
Danny Kaspar,1,0,1,0.2,-0.2
Rod Barnes,7,3,4,3.2,-0.2
Joe Cravens,1,0,1,0.2,-0.2
Pat Kelsey,1,0,1,0.2,-0.2
Joey Meyer,13,6,7,6.2,-0.2
Karl Fogel,2,0,2,0.2,-0.2
Jarrett Durham,3,0,3,0.2,-0.2
Bob Thomason,7,2,5,2.2,-0.2
Brian Hammel,1,0,1,0.2,-0.2
Rickey Broussard,2,0,2,0.2,-0.2
Walt Hazzard,2,1,1,1.2,-0.2
Steve Pikiell,1,0,1,0.2,-0.2
Sonny Allen,1,0,1,0.2,-0.2
George Blaney,1,0,1,0.2,-0.2
Ray Haskins,1,0,1,0.2,-0.2
Milton Barnes,1,0,1,0.2,-0.2
Matt McCall,1,0,1,0.2,-0.2
Rodney Terry,1,0,1,0.2,-0.2
Anthony Grant,4,1,3,1.3,-0.3
Jeff Bzdelik,1,0,1,0.3,-0.3
Kevin Keatts,2,0,2,0.3,-0.3
Karl Hobbs,4,1,3,1.3,-0.3
Eric Musselman,1,0,1,0.3,-0.3
Bobby Braswell,2,0,2,0.3,-0.3
Bill Herrion,4,1,3,1.3,-0.3
Jimmy Tillette,2,0,2,0.3,-0.3
Kirk Speraw,4,0,4,0.3,-0.3
Jessie Evans,2,0,2,0.3,-0.3
Joe Scott,1,0,1,0.3,-0.3
Brad Holland,1,0,1,0.3,-0.3
Bobby Hurley,1,0,1,0.3,-0.3
Mick Durham,1,0,1,0.3,-0.3
Jim Killingsworth,2,1,1,1.3,-0.3
Vann Pettaway,1,0,1,0.3,-0.3
Steve Steinwedel,2,0,2,0.3,-0.3
Mark Fox,7,2,5,2.3,-0.3
Bobby Collins,1,0,1,0.3,-0.3
Mitch Henderson,1,0,1,0.3,-0.3
Mark Schmidt,1,0,1,0.3,-0.3
Greg Herenda,1,0,1,0.3,-0.3
Dennis Wolff,2,0,2,0.3,-0.3
Gene Smithson,1,0,1,0.3,-0.3
Dave Loos,4,0,4,0.3,-0.3
Ritchie McKay,1,0,1,0.3,-0.3
Joby Wright,1,0,1,0.3,-0.3
Howie Dickenman,3,0,3,0.3,-0.3
Jim Baron,2,0,2,0.3,-0.3
Dino Gaudio,3,1,2,1.3,-0.3
Fran McCaffery,12,4,8,4.3,-0.3
Philip Mathews,1,0,1,0.3,-0.3
Doc Sadler,1,0,1,0.3,-0.3
Derek Kellogg,1,0,1,0.3,-0.3
Tom Green,4,0,4,0.3,-0.3
John Kresse,5,1,4,1.3,-0.3
Steve Shields,1,0,1,0.3,-0.3
Josh Pastner,6,2,4,2.3,-0.3
Fred Hoiberg,8,4,4,4.3,-0.3
Davey Whitney,2,0,2,0.4,-0.4
Smokey Gaines,1,0,1,0.4,-0.4
Norm Sloan,6,3,3,3.4,-0.4
Ted Fiore,2,0,2,0.4,-0.4
Tic Price,2,0,2,0.4,-0.4
Jerry Pimm,3,1,2,1.4,-0.4
Tevester Anderson,3,0,3,0.4,-0.4
Paul Westphal,1,0,1,0.4,-0.4
Randy Ayers,9,6,3,6.4,-0.4
Rick Huckabay,2,0,2,0.4,-0.4
Robert Moreland,3,0,3,0.4,-0.4
Bill Bayno,2,0,2,0.4,-0.4
Paul Webb,1,0,1,0.4,-0.4
Larry Eustachy,9,4,5,4.4,-0.4
Bobby Paschal,2,0,2,0.4,-0.4
John Shumate,1,0,1,0.4,-0.4
Bob Marlin,3,0,3,0.4,-0.4
Stan Albeck,1,0,1,0.4,-0.4
Sean Woods,1,0,1,0.4,-0.4
Bruce Weber,23,12,11,12.4,-0.4
Hank Egan,1,0,1,0.4,-0.4
Don Donoher,1,0,1,0.4,-0.4
Don Corbett,4,0,4,0.4,-0.4
Roy Chipman,1,0,1,0.4,-0.4
Mike Heideman,1,0,1,0.5,-0.5
Tony Barbee,1,0,1,0.5,-0.5
Tom Crean,20,11,9,11.5,-0.5
Larry Hunter,1,0,1,0.5,-0.5
Paul Hewitt,13,7,6,7.5,-0.5
Jim Anderson,1,0,1,0.5,-0.5
Bob Williams,3,0,3,0.5,-0.5
Benny Dees,3,1,2,1.5,-0.5
Mark Slessinger,1,0,1,0.5,-0.5
Gene Iba,1,0,1,0.5,-0.5
Mike Lonergan,2,0,2,0.5,-0.5
Bob Weltlich,2,0,2,0.5,-0.5
Dale Layer,2,0,2,0.5,-0.5
Bobby Dye,3,0,3,0.5,-0.5
Rod Tueller,1,0,1,0.5,-0.5
Stan Morrison,2,0,2,0.5,-0.5
Craig Neal,1,0,1,0.5,-0.5
Johnny Jones,3,0,3,0.5,-0.5
Steve Wojciechowski,1,0,1,0.5,-0.5
Jerry Loyd,1,0,1,0.5,-0.5
Pete Herrmann,1,0,1,0.5,-0.5
Moe Iba,1,0,1,0.5,-0.5
Jack Perri,1,0,1,0.5,-0.5
Don DeVoe,4,0,4,0.6,-0.6
Herb Sendek,15,7,8,7.6,-0.6
Jim Boylen,1,0,1,0.6,-0.6
Ernie Kent,12,6,6,6.6,-0.6
Roger Reid,7,2,5,2.6,-0.6
Pat Knight,1,0,1,0.6,-0.6
Richard Pitino,1,0,1,0.6,-0.6
Matthew Driscoll,1,0,1,0.6,-0.6
Ronnie Arrow,5,1,4,1.6,-0.6
Gerald Myers,2,0,2,0.6,-0.6
Brian Ellerbe,2,1,1,1.6,-0.6
Tad Boyle,5,1,4,1.6,-0.6
Jerry Peirson,2,0,2,0.6,-0.6
Steve Hawkins,2,0,2,0.6,-0.6
Dan Dakich,1,0,1,0.6,-0.6
Kerry Rupp,1,0,1,0.6,-0.6
Lute Olson,61,39,22,39.6,-0.6
Keith Dambrot,3,0,3,0.6,-0.6
Jeff Ruland,3,0,3,0.6,-0.6
Dave Bliss,15,6,9,6.6,-0.6
Seth Greenberg,4,1,3,1.6,-0.6
Ladell Andersen,3,1,2,1.6,-0.6
Ed DeChellis,2,0,2,0.6,-0.6
Marv Harshman,1,0,1,0.6,-0.6
Fran Fraschilla,4,1,3,1.6,-0.6
Mike Young,4,0,4,0.6,-0.6
Ray McCallum,3,0,3,0.6,-0.6
Murry Bartow,4,0,4,0.7,-0.7
Ronnie Courtney,1,0,1,0.7,-0.7
Ralph Willard,8,2,6,2.7,-0.7
Danny Manning,2,0,2,0.7,-0.7
Keno Davis,1,0,1,0.7,-0.7
Mick Cronin,14,5,9,5.7,-0.7
Scott Nagy,3,0,3,0.7,-0.7
Roman Banks,2,0,2,0.7,-0.7
Rich Herrin,3,0,3,0.7,-0.7
M.K. Turk,2,0,2,0.7,-0.7
Dave Paulsen,2,0,2,0.7,-0.7
Jim Christian,2,0,2,0.7,-0.7
Matt Doherty,2,1,1,1.7,-0.7
Billy Taylor,1,0,1,0.7,-0.7
Brad Soderberg,1,0,1,0.7,-0.7
Randy Peele,3,0,3,0.8,-0.8
Digger Phelps,10,4,6,4.8,-0.8
Barry Collier,3,0,3,0.8,-0.8
Lynn Nance,1,0,1,0.8,-0.8
Tim Miles,2,0,2,0.8,-0.8
Billy Gillispie,7,3,4,3.8,-0.8
Steve Masiello,2,0,2,0.8,-0.8
Scott Sutton,3,0,3,0.8,-0.8
Tim Jankovich,1,0,1,0.8,-0.8
Lewis Jackson,2,0,2,0.8,-0.8
Steve Robinson,5,2,3,2.8,-0.8
Riley Wallace,3,0,3,0.8,-0.8
Jimmy Collins,3,0,3,0.8,-0.8
Jim Molinari,2,0,2,0.9,-0.9
Wayne Tinkle,4,0,4,0.9,-0.9
Kevin Willard,2,0,2,0.9,-0.9
Tim Cluess,4,0,4,0.9,-0.9
Bob Wenzel,3,0,3,0.9,-0.9
Mike Deane,6,2,4,2.9,-0.9
Kevin Stallings,15,6,9,6.9,-0.9
Al Skinner,16,7,9,7.9,-0.9
LeVelle Moton,2,0,2,0.9,-0.9
Dick Bennett,12,5,7,5.9,-0.9
Gene Bartow,7,2,5,3.0,-1.0
Rob Evans,4,1,3,2.0,-1.0
Bobby Lutz,7,2,5,3.0,-1.0
Marvin Menzies,5,0,5,1.0,-1.0
Jim Crews,9,3,6,4.0,-1.0
Dennis Felton,4,0,4,1.0,-1.0
Randy Bennett,10,4,6,5.1,-1.1
Bryce Drew,3,0,3,1.1,-1.1
Mike Vining,6,0,6,1.1,-1.1
Ed Cooley,5,1,4,2.1,-1.1
Jeff Mullins,3,0,3,1.1,-1.1
Matt Painter,20,10,10,11.1,-1.1
Brad Brownell,5,1,4,2.1,-1.1
J.D. Barnett,4,1,3,2.1,-1.1
Leon Rice,2,0,2,1.1,-1.1
Dave Odom,19,10,9,11.1,-1.1
Johnny Orr,9,3,6,4.2,-1.2
Charles Moir,2,0,2,1.2,-1.2
Charles Spoonhour,11,3,8,4.2,-1.2
Kevin O'Neill,6,2,4,3.2,-1.2
Bruiser Flint,2,0,2,1.2,-1.2
Pete Carril,6,1,5,2.3,-1.3
Jud Heathcote,14,7,7,8.3,-1.3
Pat Foster,3,0,3,1.3,-1.3
Dave Rice,2,0,2,1.3,-1.3
Ralph Miller,3,0,3,1.4,-1.4
Leonard Hamilton,15,7,8,8.4,-1.4
Rick Stansbury,10,4,6,5.4,-1.4
Gene Keady,33,18,15,19.4,-1.4
Tom Asbury,4,0,4,1.5,-1.5
Rick Byrd,7,0,7,1.5,-1.5
Blaine Taylor,7,1,6,2.5,-1.5
Speedy Morris,5,1,4,2.5,-1.5
Frank Haith,5,1,4,2.6,-1.6
Steve Cleveland,3,0,3,1.6,-1.6
Greg McDermott,10,3,7,4.7,-1.7
Hugh Durham,5,1,4,2.8,-1.8
Billy Tubbs,22,14,8,15.8,-1.8
Tim Welsh,3,0,3,1.8,-1.8
Jerry Green,8,3,5,4.9,-1.9
George Raveling,5,1,4,2.9,-1.9
Travis Ford,7,1,6,3.0,-2.0
John Thompson,53,31,22,33.0,-2.0
Steve Lappas,6,2,4,4.1,-2.1
Tony Bennett,17,10,7,12.3,-2.3
Stew Morrill,10,1,9,3.6,-2.6
Mike Montgomery,34,18,16,20.6,-2.6
Dave Rose,12,4,8,6.8,-2.8
Oliver Purnell,6,0,6,2.9,-2.9
Danny Nee,6,0,6,3.0,-3.0
Lou Henson,19,9,10,12.0,-3.0
Eddie Fogler,8,2,6,5.0,-3.0
Skip Prosser,15,6,9,9.1,-3.1
Jamie Dixon,23,12,11,15.2,-3.2
Norm Stewart,17,7,10,10.3,-3.3
Bob Knight,42,24,18,27.3,-3.3
Bob Huggins,54,31,23,34.5,-3.5
Fran Dunphy,19,3,16,6.6,-3.6
Kelvin Sampson,26,12,14,16.1,-4.1
Rick Barnes,43,21,22,26.8,-5.8
