year,team,strength,ofs,dfs,sos
2010,BAYL,1.412,1.201,0.851,1.091
2009,MIZZ,1.412,1.283,0.909,1.079
2012,WICS,1.411,1.210,0.858,1.066
1969,UCLA,1.410,1.174,0.833,1.033
2012,MIZZ,1.409,1.283,0.911,1.078
1993,UNC,1.408,1.227,0.872,1.057
2005,FLA,1.407,1.186,0.843,1.079
2004,WISC,1.407,1.094,0.777,1.079
2006,VILL,1.407,1.196,0.850,1.091
1951,KSU,1.406,1.215,0.864,1.052
2000,TUL,1.406,1.180,0.839,1.046
2007,DUKE,1.406,1.126,0.801,1.105
2012,IND,1.405,1.269,0.903,1.096
2010,TEX,1.405,1.269,0.903,1.092
2005,MICS,1.405,1.234,0.879,1.078
2006,KAN,1.405,1.168,0.831,1.073
1988,ARIZ,1.404,1.186,0.844,1.037
2002,FLA,1.404,1.211,0.863,1.078
2008,GTWN,1.403,1.096,0.781,1.079
1960,OSU,1.403,1.306,0.930,1.033
2008,LOU,1.401,1.145,0.817,1.084
2005,OKLA,1.400,1.174,0.839,1.082
1989,ARIZ,1.398,1.186,0.848,1.053
2009,WVIR,1.398,1.154,0.826,1.090
2010,MARY,1.398,1.261,0.902,1.090
1997,KAN,1.396,1.281,0.918,1.046
2003,ILL,1.395,1.177,0.844,1.071
2005,KAN,1.395,1.207,0.865,1.100
1960,CIN,1.395,1.254,0.899,1.033
2008,TEX,1.394,1.196,0.858,1.089
1955,SANF,1.394,1.028,0.738,1.040
1974,UCLA,1.394,1.137,0.816,1.041
2004,GONZ,1.394,1.242,0.891,1.059
1995,KEN,1.394,1.247,0.895,1.050
1998,CONN,1.394,1.172,0.841,1.077
2002,OKLA,1.394,1.160,0.833,1.074
2013,MIA,1.393,1.127,0.809,1.093
2005,KEN,1.392,1.165,0.837,1.083
2013,ARIZ,1.392,1.209,0.868,1.091
1999,UTAH,1.392,1.064,0.764,1.040
2012,MEM,1.391,1.210,0.870,1.080
2001,FLA,1.391,1.215,0.874,1.072
2000,OKST,1.390,1.152,0.829,1.066
2011,SYRA,1.389,1.172,0.844,1.094
2012,GTWN,1.389,1.105,0.796,1.086
2012,FLA,1.389,1.241,0.893,1.088
1999,CIN,1.389,1.139,0.820,1.075
1962,CIN,1.388,1.053,0.759,1.034
1999,OSU,1.388,1.189,0.857,1.087
2005,VILL,1.388,1.180,0.850,1.085
2006,MEM,1.387,1.244,0.897,1.067
2003,MARY,1.387,1.222,0.881,1.076
1998,PUR,1.387,1.278,0.921,1.088
1996,CONN,1.386,1.176,0.849,1.042
2011,LOU,1.384,1.172,0.846,1.094
2004,LOU,1.384,1.137,0.822,1.077
2004,CIN,1.384,1.201,0.867,1.074
1993,KEN,1.384,1.221,0.882,1.049
2013,VCU,1.383,1.220,0.882,1.077
2009,KAN,1.383,1.196,0.864,1.085
2011,WASH,1.383,1.303,0.942,1.086
2013,CREI,1.383,1.209,0.874,1.080
2012,SLU,1.383,1.093,0.791,1.068
2007,MARY,1.383,1.241,0.898,1.088
1998,STAN,1.382,1.194,0.864,1.076
2011,UNC,1.382,1.231,0.891,1.104
2003,LOU,1.382,1.283,0.928,1.076
2012,NMEX,1.382,1.153,0.834,1.060
2005,WAKE,1.382,1.313,0.950,1.088
1997,MINN,1.381,1.174,0.850,1.051
2008,TENN,1.381,1.275,0.923,1.081
2001,WAKE,1.379,1.156,0.839,1.089
2010,MIZZ,1.379,1.204,0.873,1.088
2011,CONN,1.378,1.173,0.851,1.105
2013,MINN,1.378,1.151,0.835,1.110
2010,CLEM,1.377,1.176,0.854,1.096
2009,MICS,1.377,1.190,0.865,1.095
2006,UCLA,1.377,1.086,0.789,1.085
2008,STAN,1.377,1.127,0.819,1.085
