rk,year,team,str,ofs,dfs,sos
45,2008,Utah Jazz,1.069,1.064,0.996,1.000
46,2006,Detroit Pistons,1.069,0.997,0.933,0.998
47,2011,Miami Heat,1.069,1.027,0.961,0.997
48,2009,Los Angeles Lakers,1.069,1.065,0.996,0.998
49,2000,Portland Trail Blazers,1.069,1.002,0.937,1.000
50,2005,Phoenix Suns,1.068,1.133,1.061,1.000
51,2015,Los Angeles Clippers,1.067,1.068,1.001,1.001
52,2002,San Antonio Spurs,1.067,1.010,0.946,1.000
53,1987,Atlanta Hawks,1.067,1.012,0.949,1.000
54,1980,Boston Celtics,1.067,1.028,0.964,0.998
55,1994,New York Knicks,1.067,0.970,0.909,0.998
56,2013,Los Angeles Clippers,1.067,1.032,0.967,1.000
57,1983,Philadelphia 76ers,1.067,1.038,0.973,1.000
58,2013,San Antonio Spurs,1.066,1.045,0.980,1.001
59,1998,Indiana Pacers,1.066,1.008,0.946,1.001
60,1998,Los Angeles Lakers,1.065,1.093,1.026,0.996
61,1996,Utah Jazz,1.065,1.028,0.965,0.998
62,2009,Orlando Magic,1.065,1.014,0.953,0.999
63,1981,Milwaukee Bucks,1.065,1.050,0.986,1.000
64,2012,Oklahoma City Thunder,1.064,1.065,1.001,1.002
65,1991,Los Angeles Lakers,1.064,0.997,0.938,1.000
66,1998,Seattle SuperSonics,1.064,1.047,0.984,0.996
67,2014,Oklahoma City Thunder,1.064,1.048,0.985,1.001
68,2006,Dallas Mavericks,1.064,1.024,0.962,0.999
69,2015,San Antonio Spurs,1.063,1.024,0.963,1.001
70,2004,Minnesota Timberwolves,1.063,1.013,0.953,1.002
71,1992,Portland Trail Blazers,1.062,1.050,0.988,0.999
72,1985,Milwaukee Bucks,1.062,1.003,0.945,0.999
73,1990,Phoenix Suns,1.062,1.069,1.007,1.000
74,1990,Los Angeles Lakers,1.062,1.033,0.972,1.000
75,1999,Portland Trail Blazers,1.062,1.016,0.957,0.997
76,2000,San Antonio Spurs,1.062,0.985,0.927,1.000
77,2010,Cleveland Cavaliers,1.062,1.022,0.962,0.999
78,1989,Phoenix Suns,1.061,1.079,1.017,0.997
79,1999,Miami Heat,1.061,0.991,0.934,1.000
80,2005,Miami Heat,1.061,1.035,0.975,0.997
81,2001,Sacramento Kings,1.061,1.059,0.998,1.001
82,2011,Los Angeles Lakers,1.061,1.016,0.958,1.000
83,1995,Orlando Magic,1.060,1.089,1.027,0.998
84,2003,San Antonio Spurs,1.060,1.008,0.951,1.001
85,1989,Detroit Pistons,1.060,0.983,0.927,1.002
86,1997,Detroit Pistons,1.060,0.980,0.925,1.001
87,1993,Seattle SuperSonics,1.060,1.022,0.965,0.998
88,1986,Los Angeles Lakers,1.060,1.052,0.993,0.997
89,1990,Portland Trail Blazers,1.060,1.064,1.004,1.001
90,1997,Miami Heat,1.059,0.984,0.929,1.000
91,1987,Boston Celtics,1.059,1.032,0.975,1.000
92,1999,Utah Jazz,1.059,1.000,0.944,0.996
93,1996,San Antonio Spurs,1.059,1.036,0.978,0.999
94,1984,Boston Celtics,1.059,1.025,0.968,0.999
95,1997,Atlanta Hawks,1.059,0.982,0.927,1.000
96,2004,Detroit Pistons,1.059,0.969,0.915,0.996
97,1998,Utah Jazz,1.058,1.049,0.992,0.996
98,2005,Dallas Mavericks,1.058,1.058,1.000,1.000
99,1993,Chicago Bulls,1.058,0.999,0.945,1.000
100,1991,Phoenix Suns,1.058,1.071,1.013,1.000
