BEGIN
CREATE TABLE
INSERT 0 100
 rk  | year |          team          |  str  |  ofs  |  dfs  |  sos  
  49 | 2008 | Detroit Pistons        | 1.068 | 0.974 | 0.912 | 1.001
  50 | 1987 | Atlanta Hawks          | 1.067 | 1.009 | 0.946 | 1.001
  51 | 1994 | New York Knicks        | 1.067 | 0.967 | 0.907 | 1.001
  52 | 2002 | San Antonio Spurs      | 1.067 | 1.005 | 0.941 | 1.003
  53 | 1998 | Los Angeles Lakers     | 1.067 | 1.092 | 1.024 | 0.999
  54 | 1989 | Detroit Pistons        | 1.067 | 0.987 | 0.925 | 1.004
  55 | 2006 | Dallas Mavericks       | 1.067 | 1.027 | 0.963 | 1.004
  56 | 1987 | Los Angeles Lakers     | 1.067 | 1.057 | 0.991 | 0.998
  57 | 2009 | Los Angeles Lakers     | 1.067 | 1.060 | 0.993 | 1.002
  58 | 1998 | Utah Jazz              | 1.066 | 1.056 | 0.990 | 1.001
  59 | 1990 | Portland Trail Blazers | 1.066 | 1.068 | 1.002 | 1.004
  60 | 2005 | Miami Heat             | 1.066 | 1.035 | 0.971 | 0.998
  61 | 1998 | Indiana Pacers         | 1.065 | 1.011 | 0.949 | 1.004
  62 | 2009 | Boston Celtics         | 1.065 | 1.005 | 0.944 | 1.002
  63 | 2003 | San Antonio Spurs      | 1.064 | 1.012 | 0.951 | 1.005
  64 | 1980 | Boston Celtics         | 1.064 | 1.026 | 0.965 | 0.999
  65 | 1981 | Milwaukee Bucks        | 1.064 | 1.050 | 0.987 | 1.002
  66 | 2004 | Detroit Pistons        | 1.063 | 0.969 | 0.912 | 1.000
  67 | 1993 | New York Knicks        | 1.063 | 0.968 | 0.910 | 1.001
  68 | 1991 | Los Angeles Lakers     | 1.063 | 0.997 | 0.938 | 1.004
  69 | 2012 | Oklahoma City Thunder  | 1.063 | 1.062 | 0.998 | 1.005
  70 | 2013 | Los Angeles Clippers   | 1.063 | 1.030 | 0.968 | 1.001
  71 | 2009 | Orlando Magic          | 1.063 | 1.011 | 0.951 | 1.004
  72 | 1985 | Milwaukee Bucks        | 1.063 | 1.006 | 0.946 | 1.000
  73 | 2006 | Detroit Pistons        | 1.063 | 0.992 | 0.933 | 1.000
  74 | 2005 | Phoenix Suns           | 1.062 | 1.133 | 1.067 | 1.003
  75 | 1996 | Utah Jazz              | 1.062 | 1.021 | 0.961 | 1.003
  76 | 2010 | Cleveland Cavaliers    | 1.062 | 1.024 | 0.964 | 0.999
  77 | 1990 | Phoenix Suns           | 1.062 | 1.068 | 1.006 | 1.004
  78 | 1990 | Los Angeles Lakers     | 1.062 | 1.034 | 0.974 | 1.002
  79 | 1985 | Los Angeles Lakers     | 1.061 | 1.063 | 1.002 | 0.999
  80 | 1998 | Seattle SuperSonics    | 1.061 | 1.044 | 0.984 | 0.998
  81 | 2000 | Portland Trail Blazers | 1.061 | 0.999 | 0.942 | 1.004
  82 | 2011 | Los Angeles Lakers     | 1.060 | 1.010 | 0.953 | 1.001
  83 | 1993 | Cleveland Cavaliers    | 1.060 | 1.024 | 0.966 | 1.001
  84 | 1997 | Atlanta Hawks          | 1.060 | 0.983 | 0.927 | 1.004
  85 | 1995 | San Antonio Spurs      | 1.060 | 1.045 | 0.986 | 1.000
  86 | 2000 | San Antonio Spurs      | 1.060 | 0.986 | 0.931 | 1.001
  87 | 2009 | Portland Trail Blazers | 1.059 | 0.996 | 0.940 | 1.000
  88 | 1992 | Utah Jazz              | 1.059 | 1.026 | 0.969 | 1.000
  89 | 1983 | Philadelphia 76ers     | 1.059 | 1.032 | 0.974 | 1.002
  90 | 2004 | Indiana Pacers         | 1.059 | 0.984 | 0.929 | 0.998
  91 | 2013 | Denver Nuggets         | 1.058 | 1.079 | 1.021 | 1.002
  92 | 1998 | Miami Heat             | 1.058 | 0.999 | 0.944 | 1.001
  93 | 2013 | San Antonio Spurs      | 1.058 | 1.037 | 0.980 | 1.005
  94 | 1997 | Miami Heat             | 1.058 | 0.983 | 0.929 | 1.003
  95 | 1987 | Boston Celtics         | 1.058 | 1.032 | 0.975 | 1.004
  96 | 1993 | Chicago Bulls          | 1.058 | 1.000 | 0.945 | 1.004
  97 | 2014 | Oklahoma City Thunder  | 1.058 | 1.044 | 0.987 | 1.006
  98 | 2005 | Dallas Mavericks       | 1.058 | 1.058 | 1.000 | 1.004
  99 | 1993 | Seattle SuperSonics    | 1.058 | 1.021 | 0.965 | 1.002
 100 | 1999 | Portland Trail Blazers | 1.057 | 1.014 | 0.959 | 1.004
(100 rows)

COPY 100
COMMIT
