rk,team,year,str,ofs,dfs,sos
44,North Carolina Tar Heels,2007,1.408,1.306,0.927,1.069
45,UCLA Bruins,1974,1.407,1.140,0.811,1.051
46,Cincinnati Bearcats,1962,1.405,1.054,0.750,1.042
47,Duke Blue Devils,2015,1.402,1.272,0.907,1.063
48,Connecticut Huskies,1996,1.401,1.182,0.844,1.052
49,Cincinnati Bearcats,2002,1.399,1.163,0.831,1.059
50,Kentucky Wildcats,1993,1.399,1.229,0.879,1.060
51,Cincinnati Bearcats,2000,1.398,1.201,0.859,1.060
52,Kentucky Wildcats,2012,1.398,1.218,0.871,1.053
53,Stanford Cardinal,2001,1.394,1.231,0.884,1.061
54,Louisville Cardinals,2014,1.393,1.193,0.856,1.037
55,Connecticut Huskies,1999,1.393,1.167,0.837,1.059
56,California Golden Bears,1960,1.391,1.004,0.722,1.051
57,Indiana Hoosiers,1976,1.390,1.132,0.814,1.053
58,Arizona Wildcats,2015,1.390,1.204,0.866,1.051
59,Indiana Hoosiers,2013,1.389,1.252,0.901,1.065
60,Florida Gators,2007,1.389,1.208,0.870,1.053
61,Michigan State Spartans,1999,1.389,1.133,0.815,1.072
62,Minnesota Golden Gophers,1997,1.387,1.183,0.853,1.064
63,Kansas Jayhawks,2010,1.387,1.225,0.883,1.066
64,North Carolina Tar Heels,1986,1.386,1.309,0.945,1.089
65,Illinois Fighting Illini,2005,1.386,1.184,0.855,1.050
66,Ohio State Buckeyes,1962,1.385,1.212,0.876,1.048
67,Ohio State Buckeyes,1961,1.383,1.228,0.888,1.037
68,Cincinnati Bearcats,1963,1.382,1.043,0.755,1.047
69,Michigan Wolverines,1989,1.381,1.266,0.917,1.073
70,Arizona Wildcats,2014,1.381,1.099,0.796,1.059
71,Duke Blue Devils,2011,1.380,1.251,0.907,1.057
72,North Carolina Tar Heels,1984,1.378,1.238,0.898,1.075
73,Michigan State Spartans,2001,1.378,1.152,0.836,1.065
74,Memphis Tigers,2008,1.375,1.201,0.873,1.036
75,Duke Blue Devils,2000,1.375,1.317,0.958,1.053
76,Kansas Jayhawks,2003,1.374,1.237,0.901,1.068
77,San Francisco Dons,1956,1.374,1.030,0.750,0.983
78,Cincinnati Bearcats,1993,1.373,1.067,0.777,1.044
79,North Carolina Tar Heels,1991,1.373,1.240,0.903,1.069
80,Villanova Wildcats,2015,1.373,1.198,0.873,1.060
81,Kansas Jayhawks,2011,1.371,1.233,0.899,1.056
82,Duke Blue Devils,1989,1.368,1.196,0.874,1.046
83,Oklahoma Sooners,1988,1.368,1.440,1.053,1.053
84,UCLA Bruins,2008,1.367,1.138,0.833,1.054
85,Temple Owls,2000,1.366,1.040,0.761,1.054
86,North Carolina Tar Heels,2009,1.365,1.358,0.995,1.058
87,Indiana Hoosiers,1993,1.365,1.257,0.921,1.071
88,Kansas Jayhawks,2007,1.364,1.182,0.866,1.048
89,Duke Blue Devils,1997,1.364,1.234,0.905,1.075
90,Texas Longhorns,2006,1.364,1.155,0.847,1.042
91,Kentucky Wildcats,1999,1.363,1.141,0.837,1.062
92,Kansas Jayhawks,1992,1.360,1.212,0.891,1.065
93,Ohio State Buckeyes,1992,1.360,1.172,0.862,1.074
94,Massachusetts Minutemen,1995,1.360,1.183,0.870,1.053
95,North Carolina Tar Heels,1997,1.359,1.230,0.905,1.092
96,Kansas Jayhawks,1986,1.359,1.223,0.900,1.067
97,Kentucky Wildcats,1998,1.359,1.207,0.888,1.055
98,Texas A&M Aggies,2007,1.358,1.132,0.833,1.039
99,Wake Forest Demon Deacons,1997,1.358,1.084,0.798,1.080
100,Georgetown Hoyas,1985,1.357,1.107,0.815,1.055
