BEGIN
CREATE TABLE
INSERT 0 17510
 rk  |                 team                  | year |  str  |  ofs  |  dfs  |  sos  
  69 | Cincinnati Bearcats                   | 1963 | 1.382 | 1.043 | 0.755 | 1.047
  70 | Arizona Wildcats                      | 2014 | 1.381 | 1.099 | 0.795 | 1.059
  71 | Michigan Wolverines                   | 1989 | 1.381 | 1.266 | 0.917 | 1.073
  72 | Duke Blue Devils                      | 2011 | 1.380 | 1.251 | 0.907 | 1.057
  73 | North Carolina Tar Heels              | 1984 | 1.378 | 1.238 | 0.898 | 1.075
  74 | Michigan State Spartans               | 2001 | 1.378 | 1.152 | 0.836 | 1.065
  75 | Memphis Tigers                        | 2008 | 1.376 | 1.201 | 0.873 | 1.036
  76 | Duke Blue Devils                      | 2000 | 1.375 | 1.317 | 0.958 | 1.053
  77 | Kansas Jayhawks                       | 2003 | 1.374 | 1.237 | 0.900 | 1.068
  78 | Cincinnati Bearcats                   | 1993 | 1.373 | 1.067 | 0.777 | 1.044
  79 | Villanova Wildcats                    | 2015 | 1.373 | 1.198 | 0.872 | 1.060
  80 | North Carolina Tar Heels              | 1991 | 1.373 | 1.240 | 0.903 | 1.068
  81 | Kansas Jayhawks                       | 2011 | 1.372 | 1.233 | 0.899 | 1.055
  82 | San Francisco Dons                    | 1956 | 1.370 | 1.029 | 0.751 | 0.982
  83 | Duke Blue Devils                      | 1989 | 1.368 | 1.196 | 0.874 | 1.046
  84 | Oklahoma Sooners                      | 1988 | 1.368 | 1.440 | 1.053 | 1.053
  85 | UCLA Bruins                           | 2008 | 1.368 | 1.139 | 0.832 | 1.054
  86 | Temple Owls                           | 2000 | 1.367 | 1.040 | 0.761 | 1.054
  87 | Villanova Wildcats                    | 2016 | 1.365 | 1.139 | 0.834 | 1.052
  88 | Indiana Hoosiers                      | 1993 | 1.365 | 1.257 | 0.921 | 1.071
  89 | Kansas Jayhawks                       | 2007 | 1.365 | 1.182 | 0.866 | 1.048
  90 | North Carolina Tar Heels              | 2009 | 1.365 | 1.358 | 0.995 | 1.057
  91 | Duke Blue Devils                      | 1997 | 1.365 | 1.234 | 0.905 | 1.075
  92 | Kentucky Wildcats                     | 1999 | 1.364 | 1.141 | 0.837 | 1.061
  93 | Texas Longhorns                       | 2006 | 1.364 | 1.156 | 0.847 | 1.042
  94 | Ohio State Buckeyes                   | 1992 | 1.361 | 1.172 | 0.861 | 1.073
  95 | Massachusetts Minutemen               | 1995 | 1.360 | 1.183 | 0.869 | 1.053
  96 | Kansas Jayhawks                       | 1992 | 1.360 | 1.212 | 0.891 | 1.065
  97 | Kansas Jayhawks                       | 1986 | 1.359 | 1.223 | 0.900 | 1.066
  98 | North Carolina Tar Heels              | 1997 | 1.359 | 1.231 | 0.905 | 1.092
  99 | Kentucky Wildcats                     | 1998 | 1.359 | 1.207 | 0.888 | 1.055
 100 | Texas A&M Aggies                      | 2007 | 1.359 | 1.132 | 0.833 | 1.039
(100 rows)

COPY 100
COMMIT
