BEGIN
CREATE TABLE
INSERT 0 4866
INSERT 0 4866
INSERT 0 1328
                 school                 | g  | w  | l  |  ew  | diff 
 Kennesaw State Owls                    | 30 | 12 | 18 | 13.2 | -1.2
 Connecticut Huskies                    | 32 | 15 | 17 | 16.1 | -1.1
 UC-Irvine Anteaters                    | 34 | 19 | 15 | 20.1 | -1.1
 Dartmouth Big Green                    | 27 |  7 | 20 |  8.1 | -1.1
 Longwood Lancers                       | 28 |  4 | 24 |  5.1 | -1.1
 Evansville Purple Aces                 | 31 | 14 | 17 | 15.1 | -1.1
 Santa Clara Broncos                    | 32 | 16 | 16 | 17.1 | -1.1
 Marquette Golden Eagles                | 32 | 19 | 13 | 20.1 | -1.1
 Northern Arizona Lumberjacks           | 31 |  8 | 23 |  9.0 | -1.0
 South Florida Bulls                    | 30 |  7 | 23 |  8.0 | -1.0
 Delaware State Hornets                 | 30 |  8 | 22 |  9.0 | -1.0
 UC-Santa Barbara Gauchos               | 27 |  5 | 22 |  6.0 | -1.0
 Florida Gators                         | 36 | 27 |  9 | 28.0 | -1.0
 Texas-El Paso Miners                   | 31 | 14 | 17 | 15.0 | -1.0
 Saint Peter's Peacocks                 | 35 | 22 | 13 | 23.0 | -1.0
 Miami (OH) RedHawks                    | 30 |  9 | 21 |  9.9 | -0.9
 North Carolina Central Eagles          | 31 | 22 |  9 | 22.9 | -0.9
 Gardner-Webb Runnin' Bulldogs          | 30 | 16 | 14 | 16.9 | -0.9
 Davidson Wildcats                      | 32 | 17 | 15 | 17.9 | -0.9
 Texas A&M Aggies                       | 31 | 16 | 15 | 16.9 | -0.9
 Wichita State Shockers                 | 35 | 30 |  5 | 30.9 | -0.9
 Maine Black Bears                      | 31 |  6 | 25 |  6.9 | -0.9
 Tennessee State Tigers                 | 28 | 15 | 13 | 15.8 | -0.8
 Central Connecticut State Blue Devils  | 29 |  6 | 23 |  6.8 | -0.8
 Albany (NY) Great Danes                | 34 | 20 | 14 | 20.8 | -0.8
 Mississippi State Bulldogs             | 32 | 16 | 16 | 16.8 | -0.8
 Louisville Cardinals                   | 34 | 25 |  9 | 25.7 | -0.7
 Hawaii Warriors                        | 29 | 13 | 16 | 13.7 | -0.7
 Fordham Rams                           | 31 | 12 | 19 | 12.7 | -0.7
 Wagner Seahawks                        | 29 | 15 | 14 | 15.7 | -0.7
 Chicago State Cougars                  | 29 |  3 | 26 |  3.7 | -0.7
 Long Beach State 49ers                 | 32 | 13 | 19 | 13.7 | -0.7
 Samford Bulldogs                       | 34 | 18 | 16 | 18.7 | -0.7
 IPFW Mastodons                         | 30 | 17 | 13 | 17.7 | -0.7
 Manhattan Jaspers                      | 32 | 10 | 22 | 10.7 | -0.7
 Oklahoma State Cowboys                 | 32 | 19 | 13 | 19.7 | -0.7
 Lamar Cardinals                        | 30 | 15 | 15 | 15.6 | -0.6
 Morehead State Eagles                  | 28 | 12 | 16 | 12.6 | -0.6
 Northeastern Huskies                   | 31 | 15 | 16 | 15.6 | -0.6
 Incarnate Word Cardinals               | 25 |  8 | 17 |  8.6 | -0.6
 Western Michigan Broncos               | 31 | 15 | 16 | 15.5 | -0.5
 Michigan Wolverines                    | 38 | 26 | 12 | 26.5 | -0.5
 Binghamton Bearcats                    | 29 |  9 | 20 |  9.5 | -0.5
 San Francisco Dons                     | 32 | 19 | 13 | 19.5 | -0.5
 Southern Jaguars                       | 30 | 13 | 17 | 13.5 | -0.5
 High Point Panthers                    | 28 | 12 | 16 | 12.5 | -0.5
 Brown Bears                            | 28 | 11 | 17 | 11.5 | -0.5
 Brigham Young Cougars                  | 34 | 22 | 12 | 22.5 | -0.5
 Seattle Redhawks                       | 27 | 10 | 17 | 10.5 | -0.5
 Quinnipiac Bobcats                     | 31 | 10 | 21 | 10.5 | -0.5
 Alabama-Birmingham Blazers             | 32 | 16 | 16 | 16.5 | -0.5
 Tennessee Volunteers                   | 31 | 15 | 16 | 15.5 | -0.5
 Wake Forest Demon Deacons              | 33 | 19 | 14 | 19.4 | -0.4
 Lipscomb Bisons                        | 30 | 17 | 13 | 17.4 | -0.4
 Stetson Hatters                        | 29 |  8 | 21 |  8.4 | -0.4
 Lehigh Mountain Hawks                  | 31 | 19 | 12 | 19.4 | -0.4
 Navy Midshipmen                        | 31 | 15 | 16 | 15.4 | -0.4
 Harvard Crimson                        | 26 | 16 | 10 | 16.4 | -0.4
 St. John's (NY) Red Storm              | 33 | 14 | 19 | 14.4 | -0.4
 Saint Francis (PA) Red Flash           | 33 | 16 | 17 | 16.4 | -0.4
 Elon Phoenix                           | 30 | 16 | 14 | 16.4 | -0.4
 Penn State Nittany Lions               | 33 | 15 | 18 | 15.4 | -0.4
 Siena Saints                           | 34 | 17 | 17 | 17.3 | -0.3
 Denver Pioneers                        | 30 | 16 | 14 | 16.3 | -0.3
 Stanford Cardinal                      | 30 | 13 | 17 | 13.3 | -0.3
 Citadel Bulldogs                       | 30 |  9 | 21 |  9.3 | -0.3
 Cal Poly Mustangs                      | 29 |  9 | 20 |  9.3 | -0.3
 Portland Pilots                        | 31 |  9 | 22 |  9.3 | -0.3
 Wisconsin Badgers                      | 37 | 27 | 10 | 27.2 | -0.2
 Marist Red Foxes                       | 32 |  8 | 24 |  8.2 | -0.2
 University of California Golden Bears  | 34 | 21 | 13 | 21.2 | -0.2
 Jacksonville Dolphins                  | 29 | 13 | 16 | 13.2 | -0.2
 Maryland-Eastern Shore Hawks           | 32 | 12 | 20 | 12.1 | -0.1
 Sacred Heart Pioneers                  | 32 | 13 | 19 | 13.1 | -0.1
 Abilene Christian Wildcats             | 25 |  9 | 16 |  9.1 | -0.1
 Jackson State Tigers                   | 29 | 12 | 17 | 12.1 | -0.1
 Nebraska Cornhuskers                   | 30 | 11 | 19 | 11.1 | -0.1
 Chattanooga Mocs                       | 29 | 17 | 12 | 17.1 | -0.1
 Arkansas-Little Rock Trojans           | 30 | 13 | 17 | 13.1 | -0.1
 Bowling Green State Falcons            | 31 | 12 | 19 | 12.1 | -0.1
 South Alabama Jaguars                  | 30 | 12 | 18 | 12.0 |  0.0
 St. Bonaventure Bonnies                | 32 | 20 | 12 | 20.0 |  0.0
 Illinois-Chicago Flames                | 34 | 15 | 19 | 15.0 |  0.0
 Weber State Wildcats                   | 32 | 18 | 14 | 18.0 |  0.0
 Furman Paladins                        | 33 | 21 | 12 | 21.0 |  0.0
 Hampton Pirates                        | 29 | 12 | 17 | 12.0 |  0.0
 Texas Christian Horned Frogs           | 38 | 23 | 15 | 23.0 |  0.0
 Presbyterian Blue Hose                 | 28 |  3 | 25 |  3.0 |  0.0
 Texas-San Antonio Roadrunners          | 31 | 12 | 19 | 11.9 |  0.1
 Savannah State Tigers                  | 27 | 11 | 16 | 10.9 |  0.1
 South Carolina Upstate Spartans        | 29 | 13 | 16 | 12.9 |  0.1
 Boston University Terriers             | 31 | 17 | 14 | 16.8 |  0.2
 William & Mary Tribe                   | 29 | 15 | 14 | 14.8 |  0.2
 Northwestern State Demons              | 25 |  9 | 16 |  8.8 |  0.2
 Temple Owls                            | 32 | 16 | 16 | 15.8 |  0.2
 Arkansas-Pine Bluff Golden Lions       | 30 |  6 | 24 |  5.8 |  0.2
 Troy Trojans                           | 35 | 20 | 15 | 19.7 |  0.3
 Eastern Kentucky Colonels              | 29 | 10 | 19 |  9.7 |  0.3
 Loyola Marymount Lions                 | 29 | 14 | 15 | 13.7 |  0.3
 Canisius Golden Griffins               | 34 | 18 | 16 | 17.7 |  0.3
 Rhode Island Rams                      | 35 | 25 | 10 | 24.7 |  0.3
 Towson Tigers                          | 32 | 19 | 13 | 18.7 |  0.3
 Holy Cross Crusaders                   | 32 | 15 | 17 | 14.6 |  0.4
 Jacksonville State Gamecocks           | 33 | 18 | 15 | 17.6 |  0.4
 Nevada-Las Vegas Rebels                | 32 | 11 | 21 | 10.6 |  0.4
 Stephen F. Austin Lumberjacks          | 30 | 15 | 15 | 14.6 |  0.4
 Michigan State Spartans                | 35 | 20 | 15 | 19.6 |  0.4
 Old Dominion Monarchs                  | 31 | 19 | 12 | 18.6 |  0.4
 North Carolina-Asheville Bulldogs      | 31 | 21 | 10 | 20.6 |  0.4
 Southern Mississippi Golden Eagles     | 29 |  7 | 22 |  6.5 |  0.5
 Saint Mary's (CA) Gaels                | 34 | 29 |  5 | 28.5 |  0.5
 South Carolina Gamecocks               | 35 | 25 | 10 | 24.5 |  0.5
 Charlotte 49ers                        | 29 | 12 | 17 | 11.5 |  0.5
 South Carolina State Bulldogs          | 29 |  9 | 20 |  8.5 |  0.5
 Kansas State Wildcats                  | 35 | 21 | 14 | 20.5 |  0.5
 Georgia Bulldogs                       | 33 | 18 | 15 | 17.4 |  0.6
 Bucknell Bison                         | 35 | 26 |  9 | 25.4 |  0.6
 Rutgers Scarlet Knights                | 32 | 14 | 18 | 13.4 |  0.6
 Green Bay Phoenix                      | 30 | 16 | 14 | 15.4 |  0.6
 Robert Morris Colonials                | 33 | 14 | 19 | 13.4 |  0.6
 Cal State Fullerton Titans             | 30 | 15 | 15 | 14.4 |  0.6
 Houston Baptist Huskies                | 27 | 13 | 14 | 12.4 |  0.6
 New Orleans Privateers                 | 29 | 17 | 12 | 16.4 |  0.6
 Louisiana State Fighting Tigers        | 31 | 10 | 21 |  9.4 |  0.6
 Rice Owls                              | 33 | 21 | 12 | 20.3 |  0.7
 Central Florida Knights                | 36 | 24 | 12 | 23.3 |  0.7
 Iona Gaels                             | 35 | 22 | 13 | 21.3 |  0.7
 Sacramento State Hornets               | 29 | 11 | 18 | 10.3 |  0.7
 East Carolina Pirates                  | 33 | 15 | 18 | 14.3 |  0.7
 North Florida Ospreys                  | 30 | 11 | 19 | 10.3 |  0.7
 Princeton Tigers                       | 29 | 22 |  7 | 21.3 |  0.7
 Fresno State Bulldogs                  | 31 | 18 | 13 | 17.3 |  0.7
 Wyoming Cowboys                        | 35 | 20 | 15 | 19.3 |  0.7
 Arkansas State Red Wolves              | 31 | 19 | 12 | 18.3 |  0.7
 Purdue Boilermakers                    | 35 | 27 |  8 | 26.3 |  0.7
 Marshall Thundering Herd               | 34 | 19 | 15 | 18.2 |  0.8
 Coppin State Eagles                    | 30 |  7 | 23 |  6.2 |  0.8
 North Carolina Tar Heels               | 37 | 30 |  7 | 29.2 |  0.8
 North Carolina State Wolfpack          | 32 | 15 | 17 | 14.2 |  0.8
 Pepperdine Waves                       | 30 |  8 | 22 |  7.2 |  0.8
 Austin Peay Governors                  | 28 |  9 | 19 |  8.2 |  0.8
 La Salle Explorers                     | 30 | 15 | 15 | 14.2 |  0.8
 Memphis Tigers                         | 32 | 19 | 13 | 18.1 |  0.9
 Iowa Hawkeyes                          | 34 | 19 | 15 | 18.1 |  0.9
 Texas State Bobcats                    | 34 | 20 | 14 | 19.1 |  0.9
 South Dakota State Jackrabbits         | 33 | 16 | 17 | 15.1 |  0.9
 Georgia State Panthers                 | 31 | 18 | 13 | 17.1 |  0.9
 Alcorn State Braves                    | 29 | 15 | 14 | 14.1 |  0.9
 Dayton Flyers                          | 31 | 23 |  8 | 22.1 |  0.9
 Miami (FL) Hurricanes                  | 33 | 21 | 12 | 20.0 |  1.0
 Iowa State Cyclones                    | 35 | 24 | 11 | 23.0 |  1.0
 Campbell Fighting Camels               | 34 | 16 | 18 | 15.0 |  1.0
 Norfolk State Spartans                 | 32 | 15 | 17 | 14.0 |  1.0
 Morgan State Bears                     | 29 | 13 | 16 | 12.0 |  1.0
 Louisiana-Lafayette Ragin' Cajuns      | 31 | 19 | 12 | 18.0 |  1.0
 Southern Methodist Mustangs            | 35 | 30 |  5 | 29.0 |  1.0
 Creighton Bluejays                     | 34 | 24 | 10 | 22.9 |  1.1
 Bradley Braves                         | 32 | 12 | 20 | 10.8 |  1.2
 Illinois Fighting Illini               | 34 | 19 | 15 | 17.8 |  1.2
 Hartford Hawks                         | 32 |  9 | 23 |  7.8 |  1.2
 Oakland Golden Grizzlies               | 32 | 23 |  9 | 21.8 |  1.2
 Youngstown State Penguins              | 32 | 11 | 21 |  9.8 |  1.2
 New Mexico Lobos                       | 31 | 17 | 14 | 15.8 |  1.2
 Colorado State Rams                    | 34 | 22 | 12 | 20.8 |  1.2
 Idaho Vandals                          | 31 | 17 | 14 | 15.7 |  1.3
 San Jose State Spartans                | 28 | 12 | 16 | 10.7 |  1.3
 Duke Blue Devils                       | 37 | 28 |  9 | 26.7 |  1.3
 Fairfield Stags                        | 31 | 16 | 15 | 14.7 |  1.3
 Arizona State Sun Devils               | 33 | 15 | 18 | 13.7 |  1.3
 Southern Illinois Salukis              | 32 | 16 | 16 | 14.6 |  1.4
 Cincinnati Bearcats                    | 36 | 30 |  6 | 28.6 |  1.4
 Loyola (MD) Greyhounds                 | 32 | 15 | 17 | 13.6 |  1.4
 East Tennessee State Buccaneers        | 33 | 25 |  8 | 23.6 |  1.4
 Liberty Flames                         | 32 | 18 | 14 | 16.6 |  1.4
 Georgia Southern Eagles                | 31 | 16 | 15 | 14.6 |  1.4
 Tulsa Golden Hurricane                 | 32 | 15 | 17 | 13.6 |  1.4
 George Mason Patriots                  | 33 | 19 | 14 | 17.5 |  1.5
 Auburn Tigers                          | 32 | 18 | 14 | 16.5 |  1.5
 Missouri-Kansas City Kangaroos         | 32 | 15 | 17 | 13.5 |  1.5
 Kent State Golden Flashes              | 35 | 21 | 14 | 19.5 |  1.5
 Virginia Commonwealth Rams             | 35 | 26 |  9 | 24.5 |  1.5
 Lafayette Leopards                     | 29 |  8 | 21 |  6.5 |  1.5
 Cal State Bakersfield Roadrunners      | 32 | 22 | 10 | 20.5 |  1.5
 Central Michigan Chippewas             | 30 | 14 | 16 | 12.5 |  1.5
 North Dakota UND                       | 29 | 19 | 10 | 17.5 |  1.5
 Radford Highlanders                    | 30 | 12 | 18 | 10.5 |  1.5
 Stony Brook Seawolves                  | 32 | 18 | 14 | 16.5 |  1.5
 Western Kentucky Hilltoppers           | 32 | 15 | 17 | 13.5 |  1.5
 Providence Friars                      | 33 | 20 | 13 | 18.5 |  1.5
 Texas-Arlington Mavericks              | 34 | 25 |  9 | 23.4 |  1.6
 Rider Broncs                           | 33 | 18 | 15 | 16.4 |  1.6
 Florida State Seminoles                | 35 | 26 |  9 | 24.4 |  1.6
 New Hampshire Wildcats                 | 29 | 17 | 12 | 15.4 |  1.6
 Maryland-Baltimore County Retrievers   | 32 | 19 | 13 | 17.4 |  1.6
 Grambling Tigers                       | 30 | 13 | 17 | 11.3 |  1.7
 Mount St. Mary's Mountaineers          | 36 | 20 | 16 | 18.3 |  1.7
 Boise State Broncos                    | 31 | 19 | 12 | 17.2 |  1.8
 Pittsburgh Panthers                    | 33 | 16 | 17 | 14.2 |  1.8
 Xavier Musketeers                      | 38 | 24 | 14 | 22.2 |  1.8
 Yale Bulldogs                          | 28 | 17 | 11 | 15.1 |  1.9
 Ball State Cardinals                   | 33 | 20 | 13 | 18.1 |  1.9
 Coastal Carolina Chanticleers          | 36 | 18 | 18 | 16.1 |  1.9
 Wright State Raiders                   | 30 | 18 | 12 | 16.0 |  2.0
 Butler Bulldogs                        | 34 | 25 |  9 | 23.0 |  2.0
 South Dakota Coyotes                   | 32 | 20 | 12 | 18.0 |  2.0
 Northwestern Wildcats                  | 36 | 24 | 12 | 22.0 |  2.0
 Villanova Wildcats                     | 36 | 32 |  4 | 30.0 |  2.0
 Grand Canyon Antelopes                 | 29 | 20 |  9 | 17.9 |  2.1
 Texas A&M-Corpus Christi Islanders     | 32 | 21 | 11 | 18.9 |  2.1
 Northern Iowa Panthers                 | 29 | 13 | 16 | 10.9 |  2.1
 Washington State Cougars               | 30 | 12 | 18 |  9.9 |  2.1
 Nebraska-Omaha Mavericks               | 31 | 17 | 14 | 14.9 |  2.1
 Illinois State Redbirds                | 34 | 27 |  7 | 24.9 |  2.1
 Richmond Spiders                       | 35 | 22 | 13 | 19.8 |  2.2
 North Dakota State Bison               | 28 | 17 | 11 | 14.8 |  2.2
 Vermont Catamounts                     | 34 | 28 |  6 | 25.8 |  2.2
 San Diego Toreros                      | 30 | 12 | 18 |  9.7 |  2.3
 Kentucky Wildcats                      | 38 | 32 |  6 | 29.7 |  2.3
 Nicholls State Colonels                | 27 | 10 | 17 |  7.7 |  2.3
 Valparaiso Crusaders                   | 32 | 23 |  9 | 20.7 |  2.3
 Long Island University Blackbirds      | 31 | 19 | 12 | 16.7 |  2.3
 Gonzaga Bulldogs                       | 37 | 36 |  1 | 33.6 |  2.4
 Northern Kentucky Norse                | 33 | 22 | 11 | 19.6 |  2.4
 Delaware Fightin' Blue Hens            | 31 | 11 | 20 |  8.6 |  2.4
 Baylor Bears                           | 34 | 26 |  8 | 23.5 |  2.5
 Notre Dame Fighting Irish              | 36 | 26 | 10 | 23.5 |  2.5
 Winthrop Eagles                        | 31 | 24 |  7 | 21.5 |  2.5
 Eastern Washington Eagles              | 32 | 20 | 12 | 17.5 |  2.5
 Minnesota Golden Gophers               | 34 | 24 | 10 | 21.5 |  2.5
 Florida Gulf Coast Eagles              | 31 | 23 |  8 | 20.5 |  2.5
 College of Charleston Cougars          | 34 | 24 | 10 | 21.4 |  2.6
 George Washington Colonials            | 35 | 20 | 15 | 17.4 |  2.6
 Texas Southern Tigers                  | 35 | 23 | 12 | 20.4 |  2.6
 Sam Houston State Bearkats             | 30 | 17 | 13 | 14.4 |  2.6
 Western Carolina Catamounts            | 30 |  7 | 23 |  4.3 |  2.7
 Oregon Ducks                           | 37 | 32 |  5 | 29.3 |  2.7
 Saint Louis Billikens                  | 33 | 12 | 21 |  9.2 |  2.8
 Nevada Wolf Pack                       | 35 | 28 |  7 | 25.1 |  2.9
 New Mexico State Aggies                | 31 | 25 |  6 | 22.1 |  2.9
 Middle Tennessee Blue Raiders          | 35 | 30 |  5 | 27.1 |  2.9
 Mississippi Rebels                     | 36 | 22 | 14 | 19.1 |  2.9
 Belmont Bruins                         | 29 | 22 |  7 | 19.0 |  3.0
 Georgia Tech Yellow Jackets            | 36 | 20 | 16 | 16.9 |  3.1
 Seton Hall Pirates                     | 33 | 21 | 12 | 17.8 |  3.2
 Virginia Tech Hokies                   | 33 | 22 | 11 | 18.6 |  3.4
 Tennessee-Martin Skyhawks              | 33 | 20 | 13 | 16.6 |  3.4
 Monmouth Hawks                         | 34 | 27 |  7 | 23.5 |  3.5
 UCLA Bruins                            | 36 | 31 |  5 | 27.4 |  3.6
 Arkansas Razorbacks                    | 36 | 26 | 10 | 22.3 |  3.7
 North Carolina-Wilmington Seahawks     | 33 | 27 |  6 | 23.3 |  3.7
 Maryland Terrapins                     | 32 | 23 |  9 | 19.3 |  3.7
 Akron Zips                             | 35 | 26 |  9 | 22.2 |  3.8
 Southern California Trojans            | 36 | 26 | 10 | 22.2 |  3.8
 UC-Davis Aggies                        | 34 | 21 | 13 | 17.0 |  4.0
 Arizona Wildcats                       | 37 | 32 |  5 | 27.9 |  4.1
 Kansas Jayhawks                        | 36 | 31 |  5 | 26.9 |  4.1
 North Carolina-Greensboro Spartans     | 32 | 22 | 10 | 17.9 |  4.1
(351 rows)

COMMIT
